DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),height,angle,Power(mW),year,month,day,hour,minute,SunlightPred
2024-01-17 15:20:00,2.0,1.61,1012.78,35.21,23.61,117758.2,5.0,175.0,2059.95,2024,1,18,10,30,112120.46875
2024-01-17 15:30:00,2.0,1.98,1012.65,34.52,24.7,117758.2,5.0,175.0,2085.46,2024,1,18,10,40,112078.2890625
2024-01-17 15:40:00,2.0,2.18,1012.53,34.05,25.49,117758.2,5.0,175.0,2112.82,2024,1,18,10,50,112440.5859375
2024-01-17 15:50:00,2.0,1.42,1012.5,35.3,22.42,117758.2,5.0,175.0,2097.6,2024,1,18,11,0,111108.328125
2024-01-17 16:00:00,2.0,1.94,1012.32,37.42,19.22,117758.2,5.0,175.0,2087.11,2024,1,18,11,10,107809.3125
2024-01-17 16:10:00,2.0,1.53,1012.23,37.83,17.9,117758.2,5.0,175.0,2091.33,2024,1,18,11,20,107518.9921875
2024-01-17 16:20:00,2.0,0.7,1011.97,39.05,17.38,117758.2,5.0,175.0,2046.96,2024,1,18,11,30,108782.921875
2024-01-17 16:30:00,2.0,0.76,1011.78,40.45,16.36,117758.2,5.0,175.0,2010.08,2024,1,18,11,40,111934.375
2024-01-17 16:40:00,2.0,1.3,1011.54,38.96,17.41,117758.2,5.0,175.0,2035.95,2024,1,18,11,50,109700.265625
2024-01-17 16:50:00,2.0,0.66,1011.37,40.34,16.13,117758.2,5.0,175.0,2010.77,2024,1,18,12,0,108838.84375
2024-01-17 17:00:00,2.0,1.04,1011.1,38.62,18.61,117758.2,5.0,175.0,2015.45,2024,1,18,12,10,107315.265625
2024-01-17 17:10:00,2.0,1.14,1010.82,39.15,17.99,117758.2,5.0,175.0,2001.06,2024,1,18,12,30,107098.7734375
2024-01-17 17:20:00,2.0,1.4,1010.59,38.0,19.44,117758.2,5.0,175.0,2009.4,2024,1,18,12,40,106349.6328125
2024-01-17 17:30:00,2.0,1.36,1010.36,38.31,18.78,117758.2,5.0,175.0,1979.46,2024,1,18,12,50,107160.7734375
2024-01-17 17:40:00,2.0,2.52,1010.35,35.96,20.15,117758.2,5.0,175.0,2018.16,2024,1,18,13,0,105421.2265625
2024-01-18 06:20:00,2.0,0.8,1009.6,39.69,24.16,117758.2,5.0,175.0,1996.61,2024,1,20,10,40,117239.03125
2024-01-18 06:30:00,2.0,2.32,1016.02,35.19,31.8,117758.2,5.0,175.0,1986.43,2024,1,30,10,40,113786.1875
2024-01-18 06:40:00,2.0,2.71,1013.7,39.98,23.33,117758.2,5.0,175.0,1954.9,2024,2,32,11,0,114557.53125
2024-01-18 06:50:00,2.0,2.12,1013.56,39.26,24.82,117758.2,5.0,175.0,1986.16,2024,2,32,11,10,114751.78125
2024-01-18 07:00:00,2.0,2.06,1013.35,41.3,22.12,117758.2,5.0,175.0,1974.95,2024,2,32,11,20,117257.984375
2024-01-18 07:10:00,2.0,0.95,1011.17,40.23,27.75,117758.2,5.0,175.0,2001.35,2024,2,38,10,20,116480.109375
2024-01-18 07:20:00,2.0,1.47,1023.34,31.77,21.65,117758.2,5.0,175.0,2090.16,2024,2,42,11,0,113188.8359375
2024-01-18 07:30:00,2.0,2.42,1022.84,29.01,23.98,117758.2,5.0,175.0,2137.83,2024,2,42,11,40,115982.921875
2024-01-18 07:40:00,2.0,2.26,1022.79,28.58,24.43,117758.2,5.0,175.0,2122.8,2024,2,42,11,50,115551.8984375
2024-01-18 07:50:00,2.0,1.79,1022.58,31.02,22.38,117758.2,5.0,175.0,2094.5,2024,2,42,12,0,112944.15625
2024-01-18 08:00:00,2.0,2.54,1022.52,29.24,23.41,117758.2,5.0,175.0,2109.18,2024,2,42,12,10,115824.234375
2024-01-18 08:10:00,2.0,3.35,1022.41,27.59,25.28,117758.2,5.0,175.0,2156.55,2024,2,42,12,20,113630.53125
2024-01-18 08:20:00,2.0,2.33,1022.24,29.9,22.97,117758.2,5.0,175.0,2101.58,2024,2,42,12,30,116794.9140625
2024-01-18 08:30:00,2.0,1.76,1021.79,33.09,18.9,117758.2,5.0,175.0,2079.02,2024,2,42,12,50,112057.8046875
2024-01-18 08:40:00,2.0,0.42,1022.66,38.5,17.44,117758.2,5.0,175.0,1970.13,2024,2,43,11,0,112625.7890625
2024-01-18 08:50:00,2.0,0.48,1022.53,41.3,15.29,117758.2,5.0,175.0,1967.61,2024,2,43,11,10,114018.6640625
2024-01-18 09:00:00,2.0,1.12,1015.62,39.85,16.88,117758.2,5.0,175.0,1931.05,2024,2,45,11,20,115066.03125
2024-01-18 09:10:00,2.0,0.85,1015.33,40.88,15.15,117758.2,5.0,175.0,1911.07,2024,2,45,11,30,115936.75
2024-01-18 09:20:00,2.0,1.64,1015.16,40.48,16.54,117758.2,5.0,175.0,1933.19,2024,2,45,11,40,116874.734375
2024-01-18 09:30:00,2.0,1.49,1014.93,39.52,17.48,117758.2,5.0,175.0,1938.37,2024,2,45,11,50,115161.140625
2024-01-18 09:40:00,2.0,1.78,1014.66,36.99,19.9,117758.2,5.0,175.0,1965.72,2024,2,45,12,0,113789.8671875
2024-01-18 09:50:00,2.0,1.52,1014.4,39.09,17.92,117758.2,5.0,175.0,1932.89,2024,2,45,12,10,114995.4296875
2024-01-18 10:00:00,2.0,1.95,1014.17,38.7,18.07,117758.2,5.0,175.0,1926.86,2024,2,45,12,20,113699.4375
2024-01-18 10:10:00,2.0,1.25,1013.95,37.74,20.14,117758.2,5.0,175.0,1925.21,2024,2,45,12,30,112587.8125
2024-01-18 10:20:00,2.0,1.37,1012.32,42.58,20.15,117758.2,5.0,175.0,1913.44,2024,2,46,11,30,117985.7421875
2024-01-18 10:30:00,2.0,1.95,1012.08,38.62,24.46,117758.2,5.0,175.0,1983.98,2024,2,46,11,40,114701.8046875
2024-01-18 10:40:00,2.0,1.18,1012.4,41.63,22.47,117758.2,5.0,175.0,1973.64,2024,2,48,11,40,117185.9921875
2024-01-18 10:50:00,2.0,1.01,1011.99,41.48,22.82,117758.2,5.0,175.0,1948.5,2024,2,48,12,0,114931.109375
2024-01-18 11:00:00,2.0,1.95,1011.63,37.4,27.58,117758.2,5.0,175.0,2054.88,2024,2,48,12,20,114411.6640625
2024-01-18 11:10:00,2.0,0.0,1010.89,37.03,38.09,117758.2,5.0,175.0,2121.97,2024,2,51,11,20,115558.7109375
2024-01-18 11:20:00,2.0,0.0,1010.91,35.98,40.53,117758.2,5.0,175.0,2067.19,2024,2,51,11,30,116637.890625
2024-01-18 11:30:00,2.0,0.0,1010.75,37.24,37.89,117758.2,5.0,175.0,2059.23,2024,2,51,11,40,116273.21875
2024-01-18 11:40:00,2.0,0.0,1010.68,36.59,39.19,117758.2,5.0,175.0,2070.17,2024,2,51,11,50,117159.59375
2024-01-18 11:50:00,2.0,0.0,1010.5,36.54,39.46,117758.2,5.0,175.0,2066.74,2024,2,51,12,0,117001.5
2024-01-18 12:00:00,2.0,0.0,1010.31,37.2,38.04,117758.2,5.0,175.0,2049.34,2024,2,51,12,10,115992.5078125
