DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),height,angle,Power(mW),year,month,day,hour,minute,is_upper,SunlightPred
2024-01-26 16:00:00,13.0,3.84,1023.64,28.06,24.97,117758.2,5.0,249.0,2241.43,2024,2,42,12,20,1,117754.0546875
2024-01-30 17:20:00,13.0,3.45,1023.5,27.86,25.87,117758.2,5.0,249.0,2238.19,2024,2,42,12,30,1,117808.796875
2024-01-30 17:30:00,13.0,3.82,1023.36,27.68,25.64,117758.2,5.0,249.0,2272.62,2024,2,42,12,40,1,117884.5703125
2024-01-30 17:40:00,13.0,2.15,1012.68,35.86,31.16,117758.2,5.0,249.0,2190.54,2024,2,48,12,20,1,117639.7421875
2024-01-30 17:50:00,13.0,3.48,1011.46,38.41,34.75,117758.2,5.0,249.0,2179.04,2024,2,51,12,10,1,117720.5390625
2024-02-01 16:00:00,13.0,4.47,1011.32,37.0,37.57,117758.2,5.0,249.0,2213.62,2024,2,51,12,20,1,117528.5078125
2024-02-01 16:10:00,13.0,3.06,1011.19,37.07,38.05,117758.2,5.0,249.0,2176.31,2024,2,51,12,30,1,117698.5078125
2024-02-01 16:20:00,13.0,2.62,1010.58,36.25,41.14,117758.2,5.0,249.0,2228.71,2024,2,51,13,0,1,117802.921875
2024-02-01 16:30:00,13.0,3.4,1010.46,35.26,42.83,117758.2,5.0,249.0,2236.31,2024,2,51,13,10,1,117727.3046875
2024-02-01 16:40:00,13.0,0.0,1000.53,39.22,40.23,117758.2,5.0,249.0,1376.11,2024,6,171,12,40,1,111011.09375
2024-02-01 16:50:00,13.0,0.0,1000.46,39.18,40.61,117758.2,5.0,249.0,1393.48,2024,6,171,12,50,1,119454.609375
2024-02-01 17:00:00,13.0,0.0,1000.4,39.04,41.1,117758.2,5.0,249.0,1390.31,2024,6,171,13,0,1,117778.359375
2024-02-01 17:10:00,13.0,0.0,1000.16,39.44,39.91,117758.2,5.0,249.0,1420.03,2024,6,171,13,20,1,119242.7734375
2024-02-01 17:20:00,13.0,0.0,1005.99,42.28,31.54,117758.2,5.0,249.0,1375.52,2024,7,185,13,0,1,117305.1171875
2024-02-01 17:30:00,13.0,0.0,1005.97,42.39,31.03,117758.2,5.0,249.0,1390.83,2024,7,185,13,10,1,118447.34375
2024-02-01 17:40:00,13.0,1.43,1012.94,23.79,74.79,89.58,5.0,249.0,0.01,2024,2,32,17,40,0,89.58
2024-02-01 17:50:00,13.0,1.07,1013.0,23.67,75.52,24.72,5.0,249.0,0.0,2024,2,32,17,50,0,24.72
2024-02-02 06:20:00,13.0,0.0,1014.44,21.03,87.07,45.52,5.0,249.0,0.0,2024,2,33,6,20,0,45.52
2024-02-02 06:30:00,13.0,0.0,1014.5,21.12,86.81,205.17,5.0,249.0,0.02,2024,2,33,6,30,0,205.17
2024-02-02 06:40:00,13.0,0.73,1014.61,21.13,86.92,633.08,5.0,249.0,0.14,2024,2,33,6,40,0,633.08
2024-02-02 06:50:00,13.0,1.03,1014.8,21.36,86.06,1209.75,5.0,249.0,0.42,2024,2,33,6,50,0,1209.75
2024-02-02 07:00:00,13.0,0.33,1014.94,21.58,84.94,1883.42,5.0,249.0,0.97,2024,2,33,7,0,0,1883.42
2024-02-02 07:10:00,13.0,0.02,1014.99,21.86,83.66,2602.67,5.0,249.0,1.63,2024,2,33,7,10,0,2602.67
2024-02-02 07:20:00,13.0,0.3,1015.08,22.12,82.55,3983.92,5.0,249.0,3.56,2024,2,33,7,20,0,3983.92
2024-02-02 07:30:00,13.0,0.13,1015.26,22.52,80.91,6143.92,5.0,249.0,8.17,2024,2,33,7,30,0,6143.92
2024-02-02 07:40:00,13.0,0.59,1015.32,22.91,79.03,7421.67,5.0,249.0,11.65,2024,2,33,7,40,0,7421.67
2024-02-02 07:50:00,13.0,1.38,1015.35,23.02,78.24,9689.17,5.0,249.0,19.27,2024,2,33,7,50,0,9689.17
2024-02-02 08:00:00,13.0,0.7,1015.43,23.59,76.39,11441.5,5.0,249.0,26.79,2024,2,33,8,0,0,11441.5
2024-02-02 08:10:00,13.0,1.23,1015.39,23.87,75.86,11273.0,5.0,249.0,25.52,2024,2,33,8,10,0,11273.0
2024-02-02 08:20:00,13.0,1.42,1015.37,23.76,76.25,12591.42,5.0,249.0,32.02,2024,2,33,8,20,0,12591.42
2024-02-02 08:30:00,13.0,0.61,1015.49,23.96,75.49,10292.92,5.0,249.0,21.88,2024,2,33,8,30,0,10292.92
2024-02-02 08:40:00,13.0,0.93,1015.54,24.47,73.54,12056.5,5.0,249.0,30.23,2024,2,33,8,40,0,12056.5
2024-02-02 08:50:00,13.0,0.74,1015.64,24.93,71.46,15073.42,5.0,249.0,47.14,2024,2,33,8,50,0,15073.42
2024-02-02 09:00:00,13.0,0.97,1015.62,25.89,67.23,18310.42,5.0,249.0,69.13,2024,2,33,9,0,0,18310.42
2024-02-02 09:10:00,13.0,0.59,1015.7,26.89,63.95,20384.83,5.0,249.0,84.94,2024,2,33,9,10,0,20384.83
2024-02-02 09:20:00,13.0,0.56,1015.7,28.57,57.41,23847.92,5.0,249.0,116.32,2024,2,33,9,20,0,23847.92
2024-02-02 09:30:00,13.0,0.41,1015.68,28.71,56.33,23396.42,5.0,249.0,111.42,2024,2,33,9,30,0,23396.42
2024-02-02 09:40:00,13.0,0.81,1015.68,30.04,50.33,33919.01,5.0,249.0,270.72,2024,2,33,9,40,0,33919.01
2024-02-02 09:50:00,13.0,1.04,1015.74,34.34,39.48,48625.77,5.0,249.0,500.57,2024,2,33,9,50,0,48625.77
2024-02-02 10:00:00,13.0,0.17,1015.52,37.16,34.34,53994.29,5.0,249.0,607.77,2024,2,33,10,0,0,53994.29
2024-02-02 10:10:00,13.0,0.18,1015.5,38.03,31.58,58239.05,5.0,249.0,720.24,2024,2,33,10,10,0,58239.05
2024-02-02 10:20:00,13.0,0.17,1015.29,38.84,30.22,59666.49,5.0,249.0,755.59,2024,2,33,10,20,0,59666.49
2024-02-02 10:30:00,13.0,0.12,1015.13,41.13,27.41,79956.44,5.0,249.0,1347.92,2024,2,33,10,30,0,79956.44
2024-02-02 10:40:00,13.0,0.45,1014.84,41.45,26.08,59617.08,5.0,249.0,773.73,2024,2,33,10,40,0,59617.08
2024-02-02 10:50:00,13.0,0.2,1014.68,41.28,26.32,63819.96,5.0,249.0,864.51,2024,2,33,10,50,0,63819.96
2024-02-02 11:00:00,13.0,0.13,1014.52,40.47,26.82,60757.55,5.0,249.0,784.17,2024,2,33,11,0,0,60757.55
2024-02-02 11:10:00,13.0,0.66,1014.22,37.24,31.82,78495.4,5.0,249.0,1213.45,2024,2,33,11,10,0,78495.4
2024-02-02 11:20:00,13.0,0.51,1014.12,37.1,32.24,46394.0,5.0,249.0,444.59,2024,2,33,11,20,0,46394.0
2024-02-02 11:30:00,13.0,0.37,1013.94,34.3,38.88,39338.03,5.0,249.0,349.72,2024,2,33,11,30,0,39338.03
2024-02-02 11:40:00,13.0,0.46,1013.79,32.6,42.63,24481.25,5.0,249.0,134.45,2024,2,33,11,40,0,24481.25
2024-02-02 11:50:00,13.0,0.36,1013.67,31.72,44.5,21579.08,5.0,249.0,100.31,2024,2,33,11,50,0,21579.08
2024-02-02 12:00:00,13.0,0.67,1013.55,29.41,50.5,15665.17,5.0,249.0,54.22,2024,2,33,12,0,0,15665.17
