DateTime,Date,Month,Day,Hour,Minute,Weekday,WindSpeed,Pressure,Temperature,Humidity,Sunlight,sum_ele,sum_pos,high,ele,Power
2024-01-01 06:30:00,0.0,1,1,6,30,0,0.0,1016.5444444444444,17.5,86.77777777777777,50.093333333333334,0.03489949670250097,0.8567175188650495,52.49,-0.017452406437283192,0.0022222222222222222
2024-01-01 06:40:00,0.0,1,1,6,40,0,0.0,1016.5889999999999,17.490000000000002,86.8,163.25,0.04652531219774666,0.9802711746217219,52.49,-0.017452406437283192,0.016
2024-01-01 06:50:00,0.0,1,1,6,50,0,0.0,1016.6600000000001,17.5,86.95,326.834,0.05814482891047583,0.9896513868196701,52.49,-0.017452406437283192,0.046
2024-01-01 07:00:00,0.0,1,1,7,0,0,0.0,1016.7299999999999,17.5,86.99,470.834,0.0697564737441253,0.8837656300886935,52.49,-0.017452406437283192,0.083
2024-01-01 07:10:00,0.0,1,1,7,10,0,0.0,1016.774,17.57,86.97,659.667,0.10366053949845522,0.8734891367260524,52.49,-0.017452406437283192,0.139
2024-01-01 07:20:00,0.0,1,1,7,20,0,0.6819300399999999,1016.9219999999999,17.630000000000003,86.17999999999999,889.6659999999999,0.13744454603714665,0.8628079217361666,52.49,-0.017452406437283192,0.24700000000000003
2024-01-01 07:30:00,0.0,1,1,7,30,0,0.6073700000000001,1016.992,17.740000000000002,85.41,1263.833,0.17106936486110255,0.8517269341430477,52.49,-0.017452406437283192,0.44699999999999995
2024-01-01 07:40:00,0.0,1,1,7,40,0,0.0,1017.094,17.9,85.41,2136.833,0.20449605184179032,0.8402513082009658,52.49,-0.017452406437283192,1.129
2024-01-01 07:50:00,0.0,1,1,7,50,0,0.0,1017.2700000000001,18.130000000000003,85.19,2598.001,0.23768589232617307,0.8283863610155487,52.49,-0.017452406437283192,1.597
2024-01-01 08:00:00,0.0,1,1,8,0,0,0.0,1017.4190000000001,18.29,84.38000000000001,2160.166,0.2706004459758636,0.8161375900801604,52.49,-0.017452406437283192,1.1800000000000002
2024-01-01 08:10:00,0.0,1,1,8,10,0,0.0,1017.4399999999999,18.3,83.78999999999999,2424.666,0.29987341006350315,0.7996846584870907,52.49,-0.017452406437283192,1.44
2024-01-01 08:20:00,0.0,1,1,8,20,0,0.0,1017.55,18.28,84.88,3204.5,0.32886664673858323,0.782608156852414,52.49,-0.017452406437283192,2.369
2024-01-01 08:30:00,0.0,1,1,8,30,0,1.8334899999999998,1017.643,18.23,85.92,4376.418,0.3575531105785865,0.7649214009184319,52.49,-0.017452406437283192,4.183
2024-01-01 08:40:00,0.0,1,1,8,40,0,0.38300999999999996,1017.747,18.48,85.47999999999999,6681.334,0.3859060423243186,0.7466381822853917,52.49,-0.017452406437283192,9.765
2024-01-01 08:50:00,0.0,1,1,8,50,0,1.42532,1017.9119999999999,18.77,87.74,6693.834,0.4138989938414348,0.7277727576572105,52.49,-0.017452406437283192,11.859
