idx,DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),height,angle,Power(mW),year,month,day,hour,minute,is_upper,SunlightPred
0,2024-02-14 15:20:00,14.0,1.01,1012.41,29.26,40.64,68440.51,5.0,197.0,1111.25,2024,2,45,15,20,0,68440.51
1,2024-02-14 15:30:00,14.0,0.92,1012.47,30.33,38.02,65867.87,5.0,197.0,992.7,2024,2,45,15,30,0,65867.87
2,2024-02-14 15:40:00,14.0,1.4,1012.38,27.99,44.33,59398.75,5.0,197.0,839.53,2024,2,45,15,40,0,59398.75
3,2024-02-14 15:50:00,14.0,1.36,1012.47,27.58,45.53,42267.11,5.0,197.0,501.61,2024,2,45,15,50,0,42267.11
4,2024-02-14 16:00:00,14.0,1.01,1012.53,27.04,47.43,40163.26,5.0,197.0,425.97,2024,2,45,16,0,0,40163.26
5,2024-02-14 16:10:00,14.0,0.81,1012.58,27.7,45.38,38952.79,5.0,197.0,395.39,2024,2,45,16,10,0,38952.79
6,2024-02-14 16:20:00,14.0,0.94,1012.63,26.87,47.7,31097.92,5.0,197.0,262.51,2024,2,45,16,20,0,31097.92
7,2024-02-14 16:30:00,14.0,0.85,1012.71,26.63,48.68,24160.92,5.0,197.0,169.1,2024,2,45,16,30,0,24160.92
8,2024-02-14 16:40:00,14.0,0.57,1012.73,24.88,54.34,8633.58,5.0,197.0,13.14,2024,2,45,16,40,0,8633.58
9,2024-02-15 06:10:00,14.0,0.95,1013.59,15.79,83.36,71.58,5.0,197.0,0.0,2024,2,46,6,10,0,71.58
10,2024-02-15 06:20:00,14.0,0.89,1013.66,15.59,83.72,394.5,5.0,197.0,0.05,2024,2,46,6,20,0,394.5
11,2024-02-15 06:30:00,14.0,1.18,1013.7,15.67,83.51,1164.75,5.0,197.0,0.36,2024,2,46,6,30,0,1164.75
12,2024-02-15 06:40:00,14.0,1.18,1013.78,16.02,82.7,2358.92,5.0,197.0,1.35,2024,2,46,6,40,0,2358.92
13,2024-02-15 06:50:00,14.0,1.49,1013.91,17.58,76.51,3735.65,5.0,197.0,10.43,2024,2,46,6,50,0,3735.65
14,2024-02-15 07:00:00,14.0,2.09,1013.96,19.32,69.14,5353.33,5.0,197.0,23.74,2024,2,46,7,0,0,5353.33
15,2024-02-15 07:10:00,14.0,1.84,1014.06,20.58,65.15,12151.0,5.0,197.0,44.7,2024,2,46,7,10,0,12151.0
16,2024-02-15 07:20:00,14.0,1.72,1014.22,22.46,57.99,17001.67,5.0,197.0,79.43,2024,2,46,7,20,0,17001.67
17,2024-02-15 07:30:00,14.0,2.41,1014.29,22.9,55.89,21634.92,5.0,197.0,124.84,2024,2,46,7,30,0,21634.92
18,2024-02-15 07:40:00,14.0,1.59,1014.32,24.56,52.18,26630.5,5.0,197.0,185.43,2024,2,46,7,40,0,26630.5
19,2024-02-15 07:50:00,14.0,2.19,1014.36,24.97,50.4,31704.5,5.0,197.0,258.68,2024,2,46,7,50,0,31704.5
20,2024-02-15 08:00:00,14.0,1.64,1014.46,26.73,45.23,36996.5,5.0,197.0,346.18,2024,2,46,8,0,0,36996.5
21,2024-02-15 08:10:00,14.0,1.64,1014.5,27.14,44.07,42297.75,5.0,197.0,447.54,2024,2,46,8,10,0,42297.75
22,2024-02-15 08:20:00,14.0,2.44,1014.5,26.73,45.11,47306.69,5.0,197.0,551.92,2024,2,46,8,20,0,47306.69
23,2024-02-15 08:30:00,14.0,1.75,1014.42,28.05,41.86,52792.54,5.0,197.0,667.75,2024,2,46,8,30,0,52792.54
24,2024-02-15 08:40:00,14.0,1.69,1014.49,29.64,37.79,57881.29,5.0,197.0,786.68,2024,2,46,8,40,0,57881.29
25,2024-02-15 08:50:00,14.0,2.22,1014.54,29.62,36.34,62118.86,5.0,197.0,897.81,2024,2,46,8,50,0,62118.86
26,2024-02-15 09:00:00,14.0,2.45,1014.55,28.2,39.08,68069.22,5.0,197.0,1051.84,2024,2,46,9,0,0,68069.22
27,2024-02-15 09:10:00,14.0,2.24,1014.49,29.6,36.18,73010.99,5.0,197.0,1191.31,2024,2,46,9,10,0,73010.99
28,2024-02-15 09:20:00,14.0,1.55,1014.47,31.99,31.14,77976.11,5.0,197.0,1328.01,2024,2,46,9,20,0,77976.11
29,2024-02-15 09:30:00,14.0,1.19,1014.45,33.62,28.6,83496.29,5.0,197.0,1463.99,2024,2,46,9,30,0,83496.29
30,2024-02-15 09:40:00,14.0,1.58,1014.42,34.61,26.87,86472.63,5.0,197.0,1515.01,2024,2,46,9,40,0,86472.63
31,2024-02-15 09:50:00,14.0,1.57,1014.34,33.7,26.99,91854.63,5.0,197.0,1642.66,2024,2,46,9,50,0,91854.63
32,2024-02-15 10:00:00,14.0,1.44,1014.22,33.25,27.58,94707.17,5.0,197.0,1679.76,2024,2,46,10,0,0,94707.17
33,2024-02-15 10:10:00,14.0,0.99,1014.1,34.17,25.35,95782.6,5.0,197.0,1662.63,2024,2,46,10,10,0,95782.6
34,2024-02-15 10:20:00,14.0,2.01,1013.97,34.82,23.8,102441.27,5.0,197.0,1803.14,2024,2,46,10,20,0,102441.27
35,2024-02-15 10:30:00,14.0,1.49,1013.76,36.03,22.88,107231.38,5.0,197.0,1887.94,2024,2,46,10,30,0,107231.38
36,2024-02-15 10:40:00,14.0,0.94,1013.57,34.1,25.73,115012.39,5.0,197.0,1972.94,2024,2,46,10,40,0,115012.39
37,2024-02-15 10:50:00,14.0,0.71,1013.32,35.76,23.8,114989.03,5.0,197.0,1917.92,2024,2,46,10,50,0,114989.03
38,2024-02-15 11:00:00,14.0,1.71,1013.1,35.48,25.19,117298.2,5.0,197.0,1996.78,2024,2,46,11,0,0,117298.2
39,2024-02-15 11:10:00,14.0,1.33,1013.0,35.56,26.76,117673.21,5.0,197.0,2018.04,2024,2,46,11,10,0,117673.21
40,2024-02-15 11:20:00,14.0,0.5,1012.95,37.01,25.29,117758.2,5.0,197.0,2005.35,2024,2,46,11,20,1,117858.4765625
41,2024-02-15 11:30:00,14.0,0.93,1012.73,36.47,26.72,117758.2,5.0,197.0,2011.47,2024,2,46,11,30,1,117858.2890625
