idx,DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),height,angle,Power(mW),year,month,day,hour,minute,is_upper,SunlightPred
0,2024-01-06 06:20:00,8.0,0.06,1016.07,14.61,81.04,45.0,3.0,219.0,0.0,2024,1,6,6,20,0,45.0
1,2024-01-06 06:30:00,8.0,0.0,1016.12,14.59,81.11,172.87,3.0,219.0,0.0,2024,1,6,6,30,0,172.87
2,2024-01-06 06:40:00,8.0,0.0,1016.35,14.64,80.79,437.4,3.0,219.0,0.02,2024,1,6,6,40,0,437.4
3,2024-01-06 06:50:00,8.0,0.0,1016.51,14.46,81.8,781.25,3.0,219.0,0.06,2024,1,6,6,50,0,781.25
4,2024-01-06 07:00:00,8.0,0.0,1016.6,14.46,82.03,1211.08,3.0,219.0,0.15,2024,1,6,7,0,0,1211.08
5,2024-01-06 07:10:00,8.0,0.0,1016.64,14.38,82.65,1626.58,3.0,219.0,0.3,2024,1,6,7,10,0,1626.58
6,2024-01-06 07:20:00,8.0,0.0,1016.76,14.37,83.0,2048.75,3.0,219.0,0.52,2024,1,6,7,20,0,2048.75
7,2024-01-06 07:30:00,8.0,0.0,1016.93,14.67,82.0,2479.58,3.0,219.0,0.83,2024,1,6,7,30,0,2479.58
8,2024-01-06 07:40:00,8.0,0.0,1017.08,14.77,82.2,3151.17,3.0,219.0,1.59,2024,1,6,7,40,0,3151.17
9,2024-01-06 07:50:00,8.0,0.0,1017.28,15.18,80.32,4026.3,3.0,219.0,2.5,2024,1,6,7,50,0,4026.3
10,2024-01-06 08:00:00,8.0,0.0,1017.27,15.52,78.94,3958.5,3.0,219.0,2.42,2024,1,6,8,0,0,3958.5
11,2024-01-06 08:10:00,8.0,0.0,1017.47,15.79,78.48,4130.42,3.0,219.0,2.56,2024,1,6,8,10,0,4130.42
12,2024-01-06 08:20:00,8.0,0.0,1017.65,16.09,77.5,4969.58,3.0,219.0,3.77,2024,1,6,8,20,0,4969.58
13,2024-01-06 08:30:00,8.0,0.0,1017.6,16.45,75.53,5688.83,3.0,219.0,5.22,2024,1,6,8,30,0,5688.83
14,2024-01-06 08:40:00,8.0,0.15,1017.6,16.86,73.84,5093.92,3.0,219.0,4.05,2024,1,6,8,40,0,5093.92
15,2024-01-06 08:50:00,8.0,0.77,1017.61,17.05,73.56,5380.67,3.0,219.0,4.72,2024,1,6,8,50,0,5380.67
16,2024-01-06 09:00:00,8.0,0.2,1017.59,17.48,71.16,5775.5,3.0,219.0,5.63,2024,1,6,9,0,0,5775.5
