idx,DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),height,angle,Power(mW),year,month,day,hour,minute,is_upper,SunlightPred
0,2024-05-17 16:50:00,7.0,1.29,1006.38,27.26,60.39,3498.19,5.0,172.0,2.07,2024,5,137,16,50,0,3498.19
1,2024-05-17 17:00:00,7.0,0.66,1006.43,27.28,60.4,3326.58,5.0,172.0,1.86,2024,5,137,17,0,0,3326.58
2,2024-05-17 17:10:00,7.0,0.0,1006.58,27.09,60.91,2360.33,5.0,172.0,0.97,2024,5,137,17,10,0,2360.33
3,2024-05-17 17:20:00,7.0,0.02,1006.6,26.44,69.09,1794.67,5.0,172.0,0.61,2024,5,137,17,20,0,1794.67
4,2024-05-17 17:30:00,7.0,0.99,1006.55,24.91,81.66,2555.17,5.0,172.0,1.48,2024,5,137,17,30,0,2555.17
5,2024-05-17 17:40:00,7.0,0.0,1006.68,23.78,87.65,3603.58,5.0,172.0,2.79,2024,5,137,17,40,0,3603.58
6,2024-05-17 17:50:00,7.0,0.0,1006.69,23.59,89.34,2056.75,5.0,172.0,0.98,2024,5,137,17,50,0,2056.75
7,2024-05-17 18:00:00,7.0,0.0,1006.48,23.27,88.95,1475.08,5.0,172.0,0.53,2024,5,137,18,0,0,1475.08
8,2024-05-17 18:10:00,7.0,0.0,1006.54,22.99,89.55,869.75,5.0,172.0,0.22,2024,5,137,18,10,0,869.75
9,2024-05-17 18:20:00,7.0,0.0,1006.49,22.9,90.71,382.25,5.0,172.0,0.05,2024,5,137,18,20,0,382.25
10,2024-05-17 18:30:00,7.0,0.0,1006.57,22.84,91.16,113.42,5.0,172.0,0.01,2024,5,137,18,30,0,113.42
11,2024-05-17 18:40:00,7.0,0.0,1006.64,22.72,91.02,31.25,5.0,172.0,0.0,2024,5,137,18,40,0,31.25
12,2024-05-18 04:50:00,7.0,0.0,1005.42,19.9,94.38,28.61,5.0,172.0,0.0,2024,5,138,4,50,0,28.61
13,2024-05-18 05:00:00,7.0,0.0,1005.4,19.93,94.07,147.08,5.0,172.0,0.05,2024,5,138,5,0,0,147.08
14,2024-05-18 05:10:00,7.0,0.0,1005.44,20.01,93.38,615.33,5.0,172.0,0.33,2024,5,138,5,10,0,615.33
15,2024-05-18 05:20:00,7.0,0.0,1005.44,20.14,92.98,1540.83,5.0,172.0,1.32,2024,5,138,5,20,0,1540.83
16,2024-05-18 05:30:00,7.0,0.0,1005.57,20.39,92.51,3222.33,5.0,172.0,4.3,2024,5,138,5,30,0,3222.33
17,2024-05-18 05:40:00,7.0,0.0,1005.61,20.74,91.35,5233.42,5.0,172.0,9.03,2024,5,138,5,40,0,5233.42
18,2024-05-18 05:50:00,7.0,0.0,1005.59,21.07,89.78,6791.33,5.0,172.0,12.5,2024,5,138,5,50,0,6791.33
19,2024-05-18 06:00:00,7.0,0.0,1005.64,21.48,88.03,8566.25,5.0,172.0,18.05,2024,5,138,6,0,0,8566.25
20,2024-05-18 06:10:00,7.0,0.0,1005.72,22.06,85.73,11101.67,5.0,172.0,28.02,2024,5,138,6,10,0,11101.67
21,2024-05-18 06:20:00,7.0,0.0,1005.81,22.89,82.31,19885.25,5.0,172.0,49.2,2024,5,138,6,20,0,19885.25
22,2024-05-18 06:30:00,7.0,0.0,1005.83,25.88,70.31,30934.5,5.0,172.0,192.04,2024,5,138,6,30,0,30934.5
23,2024-05-18 06:40:00,7.0,0.0,1006.03,25.51,70.14,14564.17,5.0,172.0,39.9,2024,5,138,6,40,0,14564.17
24,2024-05-18 06:50:00,7.0,0.0,1006.2,24.56,74.59,16198.17,5.0,172.0,50.46,2024,5,138,6,50,0,16198.17
25,2024-05-18 07:00:00,7.0,0.0,1006.27,25.21,72.29,20937.58,5.0,172.0,78.77,2024,5,138,7,0,0,20937.58
26,2024-05-18 07:10:00,7.0,0.0,1006.41,25.67,70.05,21539.67,5.0,172.0,81.49,2024,5,138,7,10,0,21539.67
27,2024-05-18 07:20:00,7.0,0.0,1006.56,26.44,67.3,29913.92,5.0,172.0,146.54,2024,5,138,7,20,0,29913.92
28,2024-05-18 07:30:00,7.0,0.0,1006.66,27.4,63.44,30050.08,5.0,172.0,144.98,2024,5,138,7,30,0,30050.08
