
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","總和"
"01","0.00","0.00","0.00","0.00","0.00","0.00","0.37","1.05","1.64","1.33","1.23","1.51","1.28","1.31","0.75","0.60","0.60","0.01","0.00","0.00","0.00","0.00","0.00","0.00","11.68"
"02","0.00","0.00","0.00","0.00","0.00","0.00","0.26","0.60","0.60","0.60","0.60","0.61","0.60","0.60","0.60","0.52","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.59"
"03","0.00","0.00","0.00","0.00","0.00","0.00","0.05","0.56","0.60","0.60","0.60","0.60","0.62","0.60","0.60","0.57","0.12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","5.52"
"04","0.00","0.00","0.00","0.00","0.00","0.00","0.35","0.72","1.44","1.11","1.11","1.70","1.19","1.00","0.79","0.84","0.76","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11.01"
"05","0.00","0.00","0.00","0.00","0.00","0.00","0.38","1.13","1.88","1.55","0.99","0.86","1.04","2.14","1.25","0.52","0.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11.91"
"06","0.00","0.00","0.00","0.00","0.00","0.00","0.50","1.50","2.54","3.45","3.92","1.46","1.21","1.30","0.76","0.46","0.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17.19"
"07","0.00","0.00","0.00","0.00","0.00","0.00","0.54","1.66","2.51","3.05","3.45","3.37","0.99","1.55","1.04","0.89","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","19.05"
"08","0.00","0.00","0.00","0.00","0.00","0.00","0.56","1.58","2.65","3.20","2.17","1.07","0.84","1.11","0.71","0.60","0.32","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14.81"
"09","0.00","0.00","0.00","0.00","0.00","0.00","0.37","1.59","2.59","3.20","2.71","2.42","2.92","3.13","2.56","1.62","0.58","0.00","0.00","0.00","0.00","0.00","0.00","0.00","23.69"
"10","0.00","0.00","0.00","0.00","0.00","0.00","0.44","1.44","2.07","3.20","3.69","3.48","2.89","2.59","2.16","1.45","0.83","0.11","0.00","0.00","0.00","0.00","0.00","0.00","24.35"
"11","0.00","0.00","0.00","0.00","0.00","0.00","0.62","1.47","2.36","2.80","3.25","2.61","1.69","2.45","2.00","0.72","0.97","0.03","0.00","0.00","0.00","0.00","0.00","0.00","20.97"
"12","0.00","0.00","0.00","0.00","0.00","0.00","0.50","1.46","2.15","1.35","1.88","2.25","3.14","1.89","1.20","0.43","0.38","0.03","0.00","0.00","0.00","0.00","0.00","0.00","16.66"
"13","0.00","0.00","0.00","0.00","0.00","0.00","0.44","1.52","2.05","1.92","2.06","2.91","0.90","0.47","1.08","1.12","0.39","0.00","0.00","0.00","0.00","0.00","0.00","0.00","14.86"
"14","0.00","0.00","0.00","0.00","0.00","0.00","0.74","1.34","2.33","3.15","4.01","2.54","2.14","0.69","0.53","0.59","0.25","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18.31"
"15","0.00","0.00","0.00","0.00","0.00","0.00","0.28","1.54","2.23","2.57","2.33","2.61","1.69","1.54","0.61","0.74","0.42","0.01","0.00","0.00","0.00","0.00","0.00","0.00","16.57"
"16","0.00","0.00","0.00","0.00","0.00","0.00","0.58","1.30","2.01","2.97","2.84","3.77","3.37","2.78","2.23","1.53","0.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","23.91"
"17","0.00","0.00","0.00","0.00","0.00","0.00","0.29","1.21","2.19","3.00","3.79","3.95","4.16","3.66","2.07","1.18","0.83","0.00","0.00","0.00","0.00","0.00","0.00","0.00","26.33"
"18","0.00","0.00","0.00","0.00","0.00","0.00","0.48","1.44","2.34","3.25","3.76","4.18","4.07","3.31","1.07","1.10","0.62","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.62"
"19","0.00","0.00","0.00","0.00","0.00","0.00","0.40","1.51","2.43","3.19","3.61","4.20","3.21","2.54","2.16","1.77","0.11","0.00","0.00","0.00","0.00","0.00","0.00","0.00","25.13"
"20","0.00","0.00","0.00","0.00","0.00","0.00","0.48","1.27","1.87","3.02","3.32","2.96","1.70","1.37","1.10","0.49","0.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18.08"
"21","0.00","0.00","0.00","0.00","0.00","0.00","0.46","1.57","2.35","3.10","3.60","3.98","3.46","3.16","2.23","1.36","0.49","0.03","0.00","0.00","0.00","0.00","0.00","0.00","25.79"
"22","0.00","0.00","0.00","0.00","0.00","0.00","0.41","1.52","2.52","3.29","3.76","4.16","3.83","3.46","2.56","1.54","0.63","0.00","0.00","0.00","0.00","0.00","0.00","0.00","27.68"
"23","0.00","0.00","0.00","0.00","0.00","0.00","0.43","1.48","2.33","2.90","3.22","3.00","3.58","2.51","2.25","1.50","0.81","0.00","0.00","0.00","0.00","0.00","0.00","0.00","24.01"
"24","0.00","0.00","0.00","0.00","0.00","0.00","0.14","0.61","0.68","0.61","1.21","1.36","1.61","1.37","0.74","0.57","0.08","0.00","0.00","0.00","0.00","0.00","0.00","0.00","8.98"
"25","0.00","0.00","0.00","0.00","0.00","0.00","0.10","0.75","1.16","1.23","1.01","1.20","0.74","0.60","0.63","0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","7.44"
"26","0.00","0.00","0.00","0.00","0.00","0.00","0.21","0.60","0.68","1.97","1.81","1.48","1.78","1.43","0.78","0.59","0.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11.55"
"27","0.00","0.00","0.00","0.00","0.00","0.00","0.44","0.87","1.42","1.92","2.03","1.74","1.71","1.90","1.08","0.53","0.13","0.00","0.00","0.00","0.00","0.00","0.00","0.00","13.77"
"28","0.00","0.00","0.00","0.00","0.00","0.00","0.35","1.24","2.09","2.91","2.81","2.60","1.66","1.08","1.67","0.87","0.23","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17.51"
"29","0.00","0.00","0.00","0.00","0.00","0.00","0.31","1.36","2.05","2.85","3.48","1.24","1.48","1.65","2.00","1.18","0.33","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17.93"
"30","0.00","0.00","0.00","0.00","0.00","0.00","0.10","0.93","1.58","1.35","1.55","1.52","1.48","1.25","0.82","0.73","0.19","0.00","0.00","0.00","0.00","0.00","0.00","0.00","11.50"
"31","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.14","0.13","0.55","0.60","0.61","0.60","0.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.03"
"總和","0.00","0.00","0.00","0.00","0.00","0.00","11.58","36.96","57.47","71.19","76.40","71.95","61.58","54.84","40.03","26.63","11.58","0.22","0.00","0.00","0.00","0.00","0.00","0.00","總和"
