DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),height,angle,Power(mW)
2024-02-28 06:00:00,11.0,0.0,1017.07,15.98,87.88,36.67,1.0,131.0,0.01
2024-02-28 06:10:00,11.0,0.0,1017.11,15.85,88.02,73.75,1.0,131.0,0.01
2024-02-28 06:20:00,11.0,0.0,1017.14,15.79,87.05,276.75,1.0,131.0,0.09
2024-02-28 06:30:00,11.0,0.0,1017.27,15.81,86.83,782.5,1.0,131.0,0.51
2024-02-28 06:40:00,11.0,0.0,1017.34,16.05,86.85,1344.08,1.0,131.0,1.2
2024-02-28 06:50:00,11.0,0.11,1017.5,16.35,86.77,2361.08,1.0,131.0,3.46
2024-02-28 07:00:00,11.0,0.03,1017.65,16.9,84.95,3641.25,1.0,131.0,9.72
2024-02-28 07:10:00,11.0,0.07,1017.8,17.47,82.92,3812.92,1.0,131.0,6.86
2024-02-28 07:20:00,11.0,0.0,1017.85,17.62,82.48,4657.17,1.0,131.0,8.38
2024-02-28 07:30:00,11.0,0.07,1017.92,18.2,80.77,7583.58,1.0,131.0,26.87
2024-02-28 07:40:00,11.0,0.07,1017.95,19.99,74.29,13708.75,1.0,131.0,79.06
2024-02-28 07:50:00,11.0,0.51,1017.92,20.93,69.24,14752.5,1.0,131.0,97.42
2024-02-28 08:00:00,11.0,0.34,1017.96,21.22,67.49,12717.0,1.0,131.0,66.15
2024-02-28 08:10:00,11.0,0.33,1018.04,21.41,66.4,12313.0,1.0,131.0,65.48
2024-02-28 08:20:00,11.0,0.42,1017.96,22.83,61.4,27737.66,1.0,131.0,306.65
2024-02-28 08:30:00,11.0,0.38,1017.92,26.74,50.46,45491.48,1.0,131.0,942.74
2024-02-28 08:40:00,11.0,0.68,1017.84,29.51,42.7,55407.18,1.0,131.0,1241.74
2024-02-28 08:50:00,11.0,0.74,1017.76,30.4,39.92,58776.86,1.0,131.0,1283.95
2024-02-28 09:00:00,11.0,0.18,1017.73,31.49,38.49,58577.94,1.0,131.0,1361.11
2024-02-28 09:10:00,11.0,0.27,1017.66,33.19,34.98,62333.59,1.0,131.0,1479.82
2024-02-28 09:20:00,11.0,0.46,1017.61,33.96,32.98,62931.05,1.0,131.0,1478.53
2024-02-28 09:30:00,11.0,0.2,1017.5,35.5,30.89,68778.81,1.0,131.0,1587.64
2024-02-28 09:40:00,11.0,0.54,1017.4,35.88,29.58,73161.92,1.0,131.0,1621.98
2024-02-28 09:50:00,11.0,0.46,1017.34,36.5,28.62,79109.22,1.0,131.0,1654.63
2024-02-28 10:00:00,11.0,0.42,1017.13,37.23,26.81,87920.56,1.0,131.0,1714.41
2024-02-28 10:10:00,11.0,0.38,1016.96,37.83,26.34,92978.04,1.0,131.0,1698.16
2024-02-28 10:20:00,11.0,0.61,1016.79,37.9,26.46,102021.7,1.0,131.0,1739.66
2024-02-28 10:30:00,11.0,0.73,1016.64,37.62,26.29,105696.13,1.0,131.0,1729.31
2024-02-28 10:40:00,11.0,0.88,1016.46,33.92,31.77,45345.94,1.0,131.0,703.68
2024-02-28 10:50:00,11.0,0.77,1016.25,27.69,43.97,8514.0,1.0,131.0,26.06
2024-02-28 11:00:00,11.0,0.31,1016.02,26.15,48.87,7785.34,1.0,131.0,22.38
2024-02-28 11:10:00,11.0,0.4,1015.77,26.27,49.62,7285.0,1.0,131.0,19.72
2024-02-28 11:20:00,11.0,0.43,1015.48,26.0,50.31,7248.0,1.0,131.0,18.3
2024-02-28 11:30:00,11.0,0.24,1015.3,26.07,50.93,7791.75,1.0,131.0,20.1
2024-02-28 11:40:00,11.0,0.59,1015.03,26.06,51.0,6374.33,1.0,131.0,15.46
2024-02-28 11:50:00,11.0,1.64,1014.87,25.29,52.93,6990.67,1.0,131.0,17.77
2024-02-28 12:00:00,11.0,1.54,1014.63,24.94,54.0,6859.17,1.0,131.0,17.6
2024-02-28 12:10:00,11.0,1.37,1014.42,24.87,54.5,5738.5,1.0,131.0,13.62
2024-02-28 12:20:00,11.0,0.92,1014.2,25.31,53.21,5967.5,1.0,131.0,13.73
