DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),height,angle,Power(mW)
2024-01-01 06:30:00,1.0,0.0,1016.54,17.5,86.78,50.09,5.0,181.0,0.0
2024-01-01 06:40:00,1.0,0.0,1016.59,17.49,86.8,163.25,5.0,181.0,0.02
2024-01-01 06:50:00,1.0,0.0,1016.66,17.5,86.95,326.83,5.0,181.0,0.05
2024-01-01 07:00:00,1.0,0.0,1016.73,17.5,86.99,470.83,5.0,181.0,0.08
2024-01-01 07:10:00,1.0,0.0,1016.77,17.57,86.97,659.67,5.0,181.0,0.14
2024-01-01 07:20:00,1.0,0.68,1016.92,17.63,86.18,889.67,5.0,181.0,0.25
2024-01-01 07:30:00,1.0,0.61,1016.99,17.74,85.41,1263.83,5.0,181.0,0.45
2024-01-01 07:40:00,1.0,0.0,1017.09,17.9,85.41,2136.83,5.0,181.0,1.13
2024-01-01 07:50:00,1.0,0.0,1017.27,18.13,85.19,2598.0,5.0,181.0,1.6
2024-01-01 08:00:00,1.0,0.0,1017.42,18.29,84.38,2160.17,5.0,181.0,1.18
2024-01-01 08:10:00,1.0,0.0,1017.44,18.3,83.79,2424.67,5.0,181.0,1.44
2024-01-01 08:20:00,1.0,0.0,1017.55,18.28,84.88,3204.5,5.0,181.0,2.37
2024-01-01 08:30:00,1.0,1.83,1017.64,18.23,85.92,4376.42,5.0,181.0,4.18
2024-01-01 08:40:00,1.0,0.38,1017.75,18.48,85.48,6681.33,5.0,181.0,9.76
2024-01-01 08:50:00,1.0,1.43,1017.91,18.77,87.74,6693.83,5.0,181.0,11.86
2024-01-01 09:00:00,1.0,1.92,1017.91,18.33,92.29,8395.25,5.0,181.0,17.37
2024-01-01 09:10:00,1.0,0.09,1017.96,18.02,97.37,7046.5,5.0,181.0,12.61
2024-01-01 09:20:00,1.0,0.02,1018.16,17.73,99.93,5919.58,5.0,181.0,8.81
2024-01-01 09:30:00,1.0,0.02,1018.21,17.9,100.0,8838.92,5.0,181.0,17.56
2024-01-01 09:40:00,1.0,0.04,1018.13,18.08,100.0,5774.66,5.0,181.0,7.51
2024-01-01 09:50:00,1.0,0.02,1018.03,17.83,100.0,5437.75,5.0,181.0,7.03
2024-01-01 10:00:00,1.0,0.0,1018.04,17.75,100.0,9312.75,5.0,181.0,19.71
2024-01-01 10:10:00,1.0,0.04,1017.88,17.99,100.0,9500.66,5.0,181.0,20.35
2024-01-01 10:20:00,1.0,0.02,1017.82,18.13,100.0,9711.58,5.0,181.0,20.43
2024-01-01 10:30:00,1.0,0.01,1017.82,18.2,100.0,7952.5,5.0,181.0,14.01
2024-01-01 10:40:00,1.0,0.58,1017.71,18.11,95.79,6422.5,5.0,181.0,9.33
2024-01-01 10:50:00,1.0,0.03,1017.55,18.21,93.92,7941.42,5.0,181.0,13.53
2024-01-01 11:00:00,1.0,0.2,1017.46,18.64,92.71,7700.92,5.0,181.0,13.2
2024-01-01 11:10:00,1.0,0.35,1017.28,18.78,87.1,6558.92,5.0,181.0,9.47
2024-01-01 11:20:00,1.0,0.25,1017.09,18.8,86.15,6868.25,5.0,181.0,10.26
2024-01-01 11:30:00,1.0,0.17,1016.87,18.94,84.1,8485.08,5.0,181.0,15.88
2024-01-01 11:40:00,1.0,0.06,1016.56,19.38,84.1,10389.83,5.0,181.0,22.82
2024-01-01 11:50:00,1.0,0.15,1016.36,19.77,80.9,9784.75,5.0,181.0,20.51
2024-01-01 12:00:00,1.0,0.43,1016.17,19.87,80.09,11379.0,5.0,181.0,27.05
2024-01-01 12:10:00,1.0,0.97,1015.97,19.96,77.42,9266.17,5.0,181.0,18.22
2024-01-01 12:20:00,1.0,0.4,1015.82,19.81,78.0,9845.92,5.0,181.0,20.46
2024-01-01 12:30:00,1.0,1.27,1015.67,20.04,76.07,16415.58,5.0,181.0,55.61
2024-01-01 12:40:00,1.0,0.75,1015.51,20.35,74.86,13374.75,5.0,181.0,37.65
2024-01-01 12:50:00,1.0,1.37,1015.42,20.29,74.1,10362.5,5.0,181.0,23.23
2024-01-01 13:00:00,1.0,0.39,1015.34,19.9,75.45,7872.25,5.0,181.0,13.66
2024-01-01 13:10:00,1.0,0.14,1015.27,19.88,77.24,6294.5,5.0,181.0,8.64
2024-01-01 13:20:00,1.0,0.32,1015.05,19.67,76.37,6342.5,5.0,181.0,8.51
2024-01-01 13:30:00,1.0,0.04,1015.0,19.49,77.68,5682.0,5.0,181.0,6.83
2024-01-01 13:40:00,1.0,0.11,1014.94,19.31,78.29,4557.08,5.0,181.0,4.3
2024-01-01 13:50:00,1.0,0.0,1015.0,19.04,80.3,3202.0,5.0,181.0,2.37
2024-01-01 14:00:00,1.0,0.11,1014.91,18.23,86.75,3045.08,5.0,181.0,2.15
2024-01-01 14:10:00,1.0,0.26,1014.93,17.87,89.61,3755.25,5.0,181.0,3.02
2024-01-01 14:20:00,1.0,0.04,1014.91,17.96,89.18,4500.33,5.0,181.0,4.3
2024-01-01 14:30:00,1.0,0.08,1014.79,18.2,88.3,4435.83,5.0,181.0,4.3
2024-01-01 14:40:00,1.0,0.02,1014.74,18.44,87.16,4597.33,5.0,181.0,4.65
2024-01-01 14:50:00,1.0,0.01,1014.66,18.71,85.76,4781.25,5.0,181.0,5.03
2024-01-01 15:00:00,1.0,0.07,1014.56,18.82,84.23,3589.83,5.0,181.0,2.98
2024-01-01 15:10:00,1.0,0.0,1014.54,18.7,84.73,3289.67,5.0,181.0,2.45
2024-01-01 15:20:00,1.0,0.14,1014.59,18.58,85.6,2496.08,5.0,181.0,1.49
2024-01-01 15:30:00,1.0,0.23,1014.63,18.43,84.87,2351.25,5.0,181.0,1.33
2024-01-01 15:40:00,1.0,0.05,1014.77,18.4,84.3,2545.17,5.0,181.0,1.52
2024-01-01 15:50:00,1.0,0.02,1014.96,18.29,86.6,2437.0,5.0,181.0,1.46
2024-01-01 16:00:00,1.0,0.0,1015.07,18.2,87.58,1810.67,5.0,181.0,0.86
2024-01-01 16:10:00,1.0,0.07,1015.17,17.98,89.35,1130.0,5.0,181.0,0.36
2024-01-01 16:20:00,1.0,0.08,1015.32,17.68,90.42,1000.58,5.0,181.0,0.29
2024-01-01 16:30:00,1.0,0.0,1015.47,17.5,91.18,795.42,5.0,181.0,0.21
2024-01-01 16:40:00,1.0,0.02,1015.58,17.5,91.84,663.17,5.0,181.0,0.15
2024-01-01 16:50:00,1.0,0.16,1015.69,17.44,93.07,368.67,5.0,181.0,0.06
2024-01-01 17:00:00,1.0,0.07,1015.77,16.96,96.79,172.83,5.0,181.0,0.02
2024-01-01 17:10:00,1.0,0.07,1015.92,16.39,100.0,95.83,5.0,181.0,0.01
2024-01-01 17:20:00,1.0,0.04,1016.04,16.2,100.0,37.81,5.0,181.0,0.0
2024-01-02 06:20:00,1.0,0.0,1014.51,12.61,100.0,100.24,5.0,181.0,0.02
2024-01-02 06:30:00,1.0,0.0,1014.54,12.7,100.0,419.92,5.0,181.0,0.09
2024-01-02 06:40:00,1.0,0.0,1014.55,12.62,100.0,1164.33,5.0,181.0,0.48
2024-01-02 06:50:00,1.0,0.0,1014.6,12.65,100.0,2250.34,5.0,181.0,1.68
2024-01-02 07:00:00,1.0,0.0,1014.65,12.99,100.0,4352.58,5.0,181.0,8.3
2024-01-02 07:10:00,1.0,0.07,1014.81,14.44,100.0,8052.67,5.0,181.0,35.99
2024-01-02 07:20:00,1.0,0.39,1014.85,15.55,100.0,8764.0,5.0,181.0,28.9
2024-01-02 07:30:00,1.0,0.11,1014.92,16.24,100.0,15173.17,5.0,181.0,101.45
2024-01-02 07:40:00,1.0,0.06,1014.98,18.97,100.0,25676.25,5.0,181.0,265.02
2024-01-02 07:50:00,1.0,0.11,1014.9,22.21,90.75,32754.75,5.0,181.0,386.96
2024-01-02 08:00:00,1.0,0.29,1014.86,24.48,71.4,39953.71,5.0,181.0,513.66
2024-01-02 08:10:00,1.0,0.42,1014.87,25.97,63.99,46366.74,5.0,181.0,635.5
2024-01-02 08:20:00,1.0,0.32,1014.81,27.1,59.17,52176.04,5.0,181.0,767.84
2024-01-02 08:30:00,1.0,0.72,1014.8,27.78,55.52,57116.18,5.0,181.0,908.43
2024-01-02 08:40:00,1.0,0.98,1014.8,28.2,52.96,60843.08,5.0,181.0,1006.15
2024-01-02 08:50:00,1.0,0.1,1014.85,29.01,52.95,66731.44,5.0,181.0,1164.03
2024-01-02 09:00:00,1.0,0.16,1014.78,31.01,47.78,70884.74,5.0,181.0,1277.55
2024-01-02 09:10:00,1.0,0.08,1014.7,32.07,45.06,75632.26,5.0,181.0,1369.8
2024-01-02 09:20:00,1.0,0.67,1014.66,32.71,41.56,81495.07,5.0,181.0,1462.67
2024-01-02 09:30:00,1.0,0.71,1014.54,32.2,41.67,89049.71,5.0,181.0,1540.4
2024-01-02 09:40:00,1.0,0.22,1014.44,32.89,39.65,97289.46,5.0,181.0,1594.3
2024-01-02 09:50:00,1.0,0.47,1014.27,33.88,37.9,102983.39,5.0,181.0,1631.14
