,idx,DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),height,angle,Power(mW),SunlightPred
0,0,2024-03-01 17:10:00,10.0,0.12,1017.49,15.71,93.77,652.8,1.0,223.0,0.12,652.8
1,1,2024-03-01 17:20:00,10.0,0.31,1017.45,15.71,94.01,455.33,1.0,223.0,0.06,455.33
2,2,2024-03-01 17:30:00,10.0,0.05,1017.51,15.63,94.48,290.92,1.0,223.0,0.02,290.92
3,3,2024-03-01 17:40:00,10.0,0.23,1017.54,15.65,95.08,167.0,1.0,223.0,0.01,167.0
4,4,2024-03-01 17:50:00,10.0,0.02,1017.62,15.66,95.62,73.33,1.0,223.0,0.0,73.33
5,5,2024-03-01 18:00:00,10.0,0.0,1017.68,15.65,95.84,29.67,1.0,223.0,0.0,29.67
6,6,2024-03-02 06:00:00,10.0,0.0,1020.09,14.19,94.35,30.21,1.0,223.0,0.0,30.21
7,7,2024-03-02 06:10:00,10.0,0.5,1020.08,14.24,93.1,79.42,1.0,223.0,0.0,79.42
8,8,2024-03-02 06:20:00,10.0,0.76,1020.25,14.25,91.85,151.0,1.0,223.0,0.02,151.0
9,9,2024-03-02 06:30:00,10.0,0.1,1020.25,14.13,93.13,429.92,1.0,223.0,0.07,429.92
10,10,2024-03-02 06:40:00,10.0,0.49,1020.22,14.22,93.99,924.33,1.0,223.0,0.23,924.33
11,11,2024-03-02 06:50:00,10.0,0.19,1020.31,14.34,94.12,1712.92,1.0,223.0,0.7,1712.92
12,12,2024-03-02 07:00:00,10.0,0.26,1020.5,14.54,94.36,2717.0,1.0,223.0,1.66,2717.0
13,13,2024-03-02 07:10:00,10.0,1.06,1020.26,14.63,94.02,3511.75,1.0,223.0,2.82,3511.75
14,14,2024-03-02 07:20:00,10.0,0.45,1020.5,14.53,95.1,1607.33,1.0,223.0,0.58,1607.33
15,15,2024-03-02 07:30:00,10.0,0.0,1020.49,14.52,96.08,1734.92,1.0,223.0,0.63,1734.92
16,16,2024-03-02 07:40:00,10.0,0.13,1020.61,14.77,96.68,4238.92,1.0,223.0,3.78,4238.92
17,17,2024-03-02 07:50:00,10.0,0.34,1020.78,14.72,97.03,2838.75,1.0,223.0,1.63,2838.75
18,18,2024-03-02 08:00:00,10.0,0.15,1020.65,14.77,96.86,6213.92,1.0,223.0,8.33,6213.92
19,19,2024-03-02 08:10:00,10.0,0.11,1020.64,15.78,95.55,12269.0,1.0,223.0,29.31,12269.0
20,20,2024-03-02 08:20:00,10.0,0.11,1020.58,16.58,93.8,13612.17,1.0,223.0,38.47,13612.17
21,21,2024-03-02 08:30:00,10.0,0.0,1020.66,16.85,93.16,10517.67,1.0,223.0,21.35,10517.67
22,22,2024-03-02 08:40:00,10.0,0.05,1020.78,16.05,94.67,6629.92,1.0,223.0,8.39,6629.92
23,23,2024-03-02 08:50:00,10.0,0.03,1020.74,15.47,95.67,5106.17,1.0,223.0,4.92,5106.17
24,24,2024-03-02 09:00:00,10.0,0.64,1020.56,16.51,92.91,19133.0,1.0,223.0,121.96,19133.0
25,25,2024-03-02 09:10:00,10.0,1.09,1020.4,21.67,75.69,40267.29,1.0,223.0,319.77,40267.29
26,26,2024-03-02 09:20:00,10.0,1.23,1020.38,20.81,75.19,28759.28,1.0,223.0,151.91,28759.28
27,27,2024-03-02 09:30:00,10.0,1.22,1020.44,19.35,79.48,20021.5,1.0,223.0,68.62,20021.5
28,28,2024-03-02 09:40:00,10.0,1.1,1020.4,18.26,78.84,15427.33,1.0,223.0,40.48,15427.33
29,29,2024-03-02 09:50:00,10.0,0.84,1020.36,18.57,80.1,18208.58,1.0,223.0,54.19,18208.58
30,30,2024-03-02 10:00:00,10.0,0.64,1020.25,18.51,79.01,16047.42,1.0,223.0,45.49,16047.42
31,31,2024-03-02 10:10:00,10.0,0.17,1020.16,19.52,76.58,17753.83,1.0,223.0,55.66,17753.83
32,32,2024-03-02 10:20:00,10.0,0.47,1020.25,18.42,74.55,7036.83,1.0,223.0,8.95,7036.83
33,33,2024-03-02 10:30:00,10.0,0.61,1020.33,17.5,82.35,16586.17,1.0,223.0,55.43,16586.17
34,34,2024-03-02 10:40:00,10.0,0.65,1020.07,18.29,81.9,21849.75,1.0,223.0,87.3,21849.75
35,35,2024-03-02 10:50:00,10.0,0.77,1019.97,18.73,77.8,26501.58,1.0,223.0,121.15,26501.58
36,36,2024-03-02 11:00:00,10.0,0.35,1019.89,19.16,76.11,20966.5,1.0,223.0,86.07,20966.5
37,37,2024-03-02 11:10:00,10.0,0.46,1020.03,17.63,79.56,9231.33,1.0,223.0,14.63,9231.33
38,38,2024-03-02 11:20:00,10.0,0.53,1019.83,17.81,79.81,24346.67,1.0,223.0,107.87,24346.67
39,39,2024-03-02 11:30:00,10.0,0.76,1019.47,19.87,76.93,34744.53,1.0,223.0,219.96,34744.53
40,40,2024-03-02 11:40:00,10.0,0.87,1019.16,18.89,79.54,24777.92,1.0,223.0,110.26,24777.92
