,idx,DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),height,angle,Power(mW),SunlightPred
0,0,2024-04-18 05:10:00,4.0,0.0,1001.67,24.77,83.44,30.0,5.0,161.0,0.0,30.0
1,1,2024-04-18 05:20:00,4.0,0.0,1001.7,24.8,83.3,147.75,5.0,161.0,0.01,147.75
2,2,2024-04-18 05:30:00,4.0,0.11,1001.53,24.77,82.72,621.08,5.0,161.0,0.13,621.08
3,3,2024-04-18 05:40:00,4.0,0.38,1001.23,24.91,81.0,2054.75,5.0,161.0,1.19,2054.75
4,4,2024-04-18 05:50:00,4.0,0.25,1000.97,25.42,79.03,5798.0,5.0,161.0,8.12,5798.0
5,5,2024-04-18 06:00:00,4.0,0.16,1000.95,26.18,76.48,9609.58,5.0,161.0,18.21,9609.58
6,6,2024-04-18 06:10:00,4.0,0.0,1001.03,27.14,72.03,10056.33,5.0,161.0,19.47,10056.33
7,7,2024-04-18 06:20:00,4.0,0.61,1001.06,27.31,70.34,11480.08,5.0,161.0,23.26,11480.08
8,8,2024-04-18 06:30:00,4.0,0.3,1001.22,27.55,67.16,9846.75,5.0,161.0,18.3,9846.75
9,9,2024-04-18 06:40:00,4.0,0.1,1001.47,27.51,68.52,10591.25,5.0,161.0,18.75,10591.25
10,10,2024-04-18 06:50:00,4.0,0.22,1001.56,27.76,68.89,10334.91,5.0,161.0,17.76,10334.91
11,11,2024-04-18 07:00:00,4.0,0.06,1001.79,28.08,68.18,11884.08,5.0,161.0,22.66,11884.08
12,12,2024-04-18 07:10:00,4.0,0.06,1001.9,28.68,66.61,12909.92,5.0,161.0,28.41,12909.92
13,13,2024-04-18 07:20:00,4.0,0.02,1002.21,29.08,65.31,11329.0,5.0,161.0,21.88,11329.0
14,14,2024-04-18 07:30:00,4.0,0.15,1002.57,29.45,64.32,17251.83,5.0,161.0,48.54,17251.83
15,15,2024-04-18 07:40:00,4.0,0.19,1002.49,30.59,60.45,26329.83,5.0,161.0,108.24,26329.83
