,idx,DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),height,angle,Power(mW),SunlightPred
0,0,2024-05-17 16:50:00,7.0,1.29,1006.38,27.26,60.39,3498.19,5.0,172.0,2.07,3498.19
1,1,2024-05-17 17:00:00,7.0,0.66,1006.43,27.28,60.4,3326.58,5.0,172.0,1.86,3326.58
2,2,2024-05-17 17:10:00,7.0,0.0,1006.58,27.09,60.91,2360.33,5.0,172.0,0.97,2360.33
3,3,2024-05-17 17:20:00,7.0,0.02,1006.6,26.44,69.09,1794.67,5.0,172.0,0.61,1794.67
4,4,2024-05-17 17:30:00,7.0,0.99,1006.55,24.91,81.66,2555.17,5.0,172.0,1.48,2555.17
5,5,2024-05-17 17:40:00,7.0,0.0,1006.68,23.78,87.65,3603.58,5.0,172.0,2.79,3603.58
6,6,2024-05-17 17:50:00,7.0,0.0,1006.69,23.59,89.34,2056.75,5.0,172.0,0.98,2056.75
7,7,2024-05-17 18:00:00,7.0,0.0,1006.48,23.27,88.95,1475.08,5.0,172.0,0.53,1475.08
8,8,2024-05-17 18:10:00,7.0,0.0,1006.54,22.99,89.55,869.75,5.0,172.0,0.22,869.75
9,9,2024-05-17 18:20:00,7.0,0.0,1006.49,22.9,90.71,382.25,5.0,172.0,0.05,382.25
10,10,2024-05-17 18:30:00,7.0,0.0,1006.57,22.84,91.16,113.42,5.0,172.0,0.01,113.42
11,11,2024-05-17 18:40:00,7.0,0.0,1006.64,22.72,91.02,31.25,5.0,172.0,0.0,31.25
12,12,2024-05-18 04:50:00,7.0,0.0,1005.42,19.9,94.38,28.61,5.0,172.0,0.0,28.61
13,13,2024-05-18 05:00:00,7.0,0.0,1005.4,19.93,94.07,147.08,5.0,172.0,0.05,147.08
14,14,2024-05-18 05:10:00,7.0,0.0,1005.44,20.01,93.38,615.33,5.0,172.0,0.33,615.33
15,15,2024-05-18 05:20:00,7.0,0.0,1005.44,20.14,92.98,1540.83,5.0,172.0,1.32,1540.83
16,16,2024-05-18 05:30:00,7.0,0.0,1005.57,20.39,92.51,3222.33,5.0,172.0,4.3,3222.33
17,17,2024-05-18 05:40:00,7.0,0.0,1005.61,20.74,91.35,5233.42,5.0,172.0,9.03,5233.42
18,18,2024-05-18 05:50:00,7.0,0.0,1005.59,21.07,89.78,6791.33,5.0,172.0,12.5,6791.33
19,19,2024-05-18 06:00:00,7.0,0.0,1005.64,21.48,88.03,8566.25,5.0,172.0,18.05,8566.25
20,20,2024-05-18 06:10:00,7.0,0.0,1005.72,22.06,85.73,11101.67,5.0,172.0,28.02,11101.67
21,21,2024-05-18 06:20:00,7.0,0.0,1005.81,22.89,82.31,19885.25,5.0,172.0,49.2,19885.25
22,22,2024-05-18 06:30:00,7.0,0.0,1005.83,25.88,70.31,30934.5,5.0,172.0,192.04,30934.5
23,23,2024-05-18 06:40:00,7.0,0.0,1006.03,25.51,70.14,14564.17,5.0,172.0,39.9,14564.17
24,24,2024-05-18 06:50:00,7.0,0.0,1006.2,24.56,74.59,16198.17,5.0,172.0,50.46,16198.17
25,25,2024-05-18 07:00:00,7.0,0.0,1006.27,25.21,72.29,20937.58,5.0,172.0,78.77,20937.58
26,26,2024-05-18 07:10:00,7.0,0.0,1006.41,25.67,70.05,21539.67,5.0,172.0,81.49,21539.67
27,27,2024-05-18 07:20:00,7.0,0.0,1006.56,26.44,67.3,29913.92,5.0,172.0,146.54,29913.92
28,28,2024-05-18 07:30:00,7.0,0.0,1006.66,27.4,63.44,30050.08,5.0,172.0,144.98,30050.08
29,29,2024-05-18 07:40:00,7.0,0.0,1006.72,28.24,60.13,32868.92,5.0,172.0,172.58,32868.92
30,30,2024-05-18 07:50:00,7.0,0.0,1006.85,28.57,58.54,31069.08,5.0,172.0,152.45,31069.08
31,31,2024-05-18 08:00:00,7.0,0.0,1006.88,28.73,56.88,32947.83,5.0,172.0,172.34,32947.83
32,32,2024-05-18 08:10:00,7.0,0.0,1006.89,30.12,53.56,52376.16,5.0,172.0,457.73,52376.16
33,33,2024-05-18 08:20:00,7.0,0.0,1006.82,32.31,46.75,41194.49,5.0,172.0,288.58,41194.49
34,34,2024-05-18 08:30:00,7.0,0.0,1006.72,31.78,46.95,44737.32,5.0,172.0,341.71,44737.32
35,35,2024-05-18 08:40:00,7.0,0.0,1006.66,32.12,46.52,42947.38,5.0,172.0,298.16,42947.38
36,36,2024-05-18 08:50:00,7.0,0.0,1006.59,32.41,45.07,32644.01,5.0,172.0,177.44,32644.01
37,37,2024-05-18 09:00:00,7.0,0.0,1006.48,31.12,48.46,26856.42,5.0,172.0,117.27,26856.42
38,38,2024-05-18 09:10:00,7.0,0.0,1006.45,34.09,41.87,83458.91,5.0,172.0,1138.77,83458.91
39,39,2024-05-18 09:20:00,7.0,0.0,1006.41,36.58,34.08,64541.59,5.0,172.0,643.26,64541.59
40,40,2024-05-18 09:30:00,7.0,0.0,1006.42,39.67,28.97,98440.18,5.0,172.0,1504.71,98440.18
41,41,2024-05-18 09:40:00,7.0,0.0,1006.38,42.54,23.79,85159.65,5.0,172.0,1118.23,85159.65
42,42,2024-05-18 09:50:00,7.0,0.0,1006.31,41.3,24.38,71783.54,5.0,172.0,823.71,71783.54
43,43,2024-05-18 10:00:00,7.0,0.0,1006.21,43.94,21.23,113221.99,5.0,172.0,1918.08,113221.99
44,44,2024-05-18 10:10:00,7.0,0.0,1006.13,45.7,18.01,84321.77,5.0,172.0,1165.81,84321.77
45,45,2024-05-18 10:20:00,7.0,0.0,1006.02,44.54,19.0,89368.3,5.0,172.0,1272.59,89368.3
46,46,2024-05-18 10:30:00,7.0,0.0,1005.84,45.09,18.36,104232.22,5.0,172.0,1543.79,104232.22
