,idx,DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),height,angle,Power(mW),SunlightPred
0,0,2024-03-01 15:40:00,12.0,0.17,1015.81,17.67,71.21,2720.14,1.0,298.0,1.72,2720.14
1,1,2024-03-01 15:50:00,12.0,0.13,1015.83,17.71,72.2,2849.5,1.0,298.0,1.81,2849.5
2,2,2024-03-01 16:00:00,12.0,0.13,1015.95,17.3,75.39,2470.83,1.0,298.0,1.26,2470.83
3,3,2024-03-01 16:10:00,12.0,0.16,1015.98,17.02,76.84,2126.67,1.0,298.0,0.88,2126.67
4,4,2024-03-01 16:20:00,12.0,0.3,1016.14,16.67,78.86,1291.75,1.0,298.0,0.37,1291.75
5,5,2024-03-01 16:30:00,12.0,0.15,1016.23,16.58,81.07,1211.33,1.0,298.0,0.33,1211.33
6,6,2024-03-01 16:40:00,12.0,0.41,1016.29,16.36,81.9,1662.58,1.0,298.0,0.58,1662.58
7,7,2024-03-01 16:50:00,12.0,0.47,1016.32,16.06,81.82,1033.42,1.0,298.0,0.25,1033.42
8,8,2024-03-01 17:00:00,12.0,0.12,1016.37,16.08,83.34,608.42,1.0,298.0,0.1,608.42
9,9,2024-03-01 17:10:00,12.0,0.11,1016.61,16.08,83.53,452.83,1.0,298.0,0.07,452.83
10,10,2024-03-01 17:20:00,12.0,0.08,1016.56,16.05,84.4,371.33,1.0,298.0,0.05,371.33
11,11,2024-03-01 17:30:00,12.0,0.0,1016.62,15.93,85.51,201.25,1.0,298.0,0.02,201.25
12,12,2024-03-01 17:40:00,12.0,0.0,1016.63,15.86,85.88,130.5,1.0,298.0,0.01,130.5
13,13,2024-03-01 17:50:00,12.0,0.04,1016.76,15.62,85.8,49.75,1.0,298.0,0.0,49.75
14,14,2024-03-01 18:00:00,12.0,0.0,1016.79,15.6,86.85,25.42,1.0,298.0,0.0,25.42
15,15,2024-03-02 06:00:00,12.0,0.0,1019.44,14.48,86.74,23.75,1.0,298.0,0.0,23.75
16,16,2024-03-02 06:10:00,12.0,0.24,1019.44,14.5,86.87,48.75,1.0,298.0,0.0,48.75
17,17,2024-03-02 06:20:00,12.0,0.35,1019.6,14.47,86.6,94.92,1.0,298.0,0.0,94.92
18,18,2024-03-02 06:30:00,12.0,0.5,1019.62,14.32,86.96,280.67,1.0,298.0,0.04,280.67
19,19,2024-03-02 06:40:00,12.0,0.3,1019.58,14.19,87.42,626.25,1.0,298.0,0.15,626.25
20,20,2024-03-02 06:50:00,12.0,0.36,1019.67,14.25,88.51,1220.75,1.0,298.0,0.44,1220.75
21,21,2024-03-02 07:00:00,12.0,0.08,1019.91,14.52,89.11,2030.08,1.0,298.0,1.2,2030.08
22,22,2024-03-02 07:10:00,12.0,0.45,1019.67,14.52,89.16,2216.42,1.0,298.0,1.57,2216.42
23,23,2024-03-02 07:20:00,12.0,0.3,1019.88,14.34,90.62,1153.08,1.0,298.0,0.38,1153.08
24,24,2024-03-02 07:30:00,12.0,0.03,1019.89,14.3,91.73,1477.58,1.0,298.0,0.55,1477.58
25,25,2024-03-02 07:40:00,12.0,0.0,1020.0,14.45,92.82,3602.75,1.0,298.0,3.22,3602.75
26,26,2024-03-02 07:50:00,12.0,0.0,1020.22,14.28,93.18,2036.5,1.0,298.0,0.97,2036.5
27,27,2024-03-02 08:00:00,12.0,0.07,1020.07,14.47,93.12,4572.83,1.0,298.0,5.56,4572.83
28,28,2024-03-02 08:10:00,12.0,0.19,1020.12,14.92,92.38,7579.25,1.0,298.0,15.52,7579.25
29,29,2024-03-02 08:20:00,12.0,0.17,1020.07,15.32,91.32,7975.25,1.0,298.0,15.91,7975.25
30,30,2024-03-02 08:30:00,12.0,0.04,1020.17,15.64,91.8,7512.5,1.0,298.0,12.63,7512.5
31,31,2024-03-02 08:40:00,12.0,0.0,1020.28,15.38,91.24,4851.5,1.0,298.0,5.54,4851.5
32,32,2024-03-02 08:50:00,12.0,0.0,1020.26,14.99,92.18,4291.92,1.0,298.0,4.18,4291.92
33,33,2024-03-02 09:00:00,12.0,0.16,1020.07,15.24,91.56,7150.83,1.0,298.0,12.72,7150.83
34,34,2024-03-02 09:10:00,12.0,0.05,1020.05,15.81,90.29,10986.67,1.0,298.0,27.27,10986.67
35,35,2024-03-02 09:20:00,12.0,0.4,1020.03,16.14,89.09,11774.5,1.0,298.0,31.21,11774.5
36,36,2024-03-02 09:30:00,12.0,0.25,1020.02,16.54,88.07,11342.83,1.0,298.0,28.82,11342.83
37,37,2024-03-02 09:40:00,12.0,0.03,1019.96,16.51,89.14,9599.67,1.0,298.0,20.17,9599.67
38,38,2024-03-02 09:50:00,12.0,0.03,1019.97,16.95,88.4,12791.58,1.0,298.0,36.16,12791.58
39,39,2024-03-02 10:00:00,12.0,0.2,1019.88,17.04,86.03,12686.08,1.0,298.0,36.43,12686.08
40,40,2024-03-02 10:10:00,12.0,0.0,1019.8,17.55,85.41,12158.75,1.0,298.0,34.72,12158.75
41,41,2024-03-02 10:20:00,12.0,0.13,1019.88,16.96,79.88,6967.67,1.0,298.0,9.19,6967.67
42,42,2024-03-02 10:30:00,12.0,0.23,1019.97,16.85,79.52,14024.83,1.0,298.0,41.35,14024.83
43,43,2024-03-02 10:40:00,12.0,0.24,1019.72,17.08,79.99,15911.42,1.0,298.0,56.6,15911.42
44,44,2024-03-02 10:50:00,12.0,0.03,1019.62,17.76,77.92,16900.75,1.0,298.0,66.72,16900.75
45,45,2024-03-02 11:00:00,12.0,0.24,1019.58,18.01,74.3,13967.33,1.0,298.0,48.69,13967.33
46,46,2024-03-02 11:10:00,12.0,0.02,1019.72,17.03,76.31,6387.75,1.0,298.0,8.81,6387.75
47,47,2024-03-02 11:20:00,12.0,0.32,1019.54,17.01,76.84,16085.83,1.0,298.0,62.54,16085.83
48,48,2024-03-02 11:30:00,12.0,0.54,1019.18,18.09,74.38,22045.33,1.0,298.0,117.37,22045.33
49,49,2024-03-02 11:40:00,12.0,0.89,1018.91,17.32,76.45,17253.67,1.0,298.0,68.13,17253.67
50,50,2024-03-02 11:50:00,12.0,0.38,1018.84,17.87,74.1,13444.0,1.0,298.0,56.72,13444.0
51,51,2024-03-02 12:00:00,12.0,0.28,1018.88,16.63,77.88,3666.25,1.0,298.0,2.53,3666.25
52,52,2024-03-02 12:10:00,12.0,0.06,1018.81,16.07,82.68,5135.5,1.0,298.0,5.32,5135.5
53,53,2024-03-02 12:20:00,12.0,0.03,1018.63,15.92,86.34,7014.42,1.0,298.0,11.95,7014.42
54,54,2024-03-02 12:30:00,12.0,0.02,1018.45,16.31,85.76,10780.5,1.0,298.0,31.34,10780.5
55,55,2024-03-02 12:40:00,12.0,0.04,1018.37,16.29,84.57,5729.83,1.0,298.0,7.44,5729.83
56,56,2024-03-02 12:50:00,12.0,0.0,1018.09,15.87,86.84,6137.83,1.0,298.0,8.02,6137.83
57,57,2024-03-02 13:00:00,12.0,0.0,1017.81,15.97,86.94,6931.67,1.0,298.0,10.96,6931.67
58,58,2024-03-02 13:10:00,12.0,0.0,1017.59,16.18,87.4,6380.5,1.0,298.0,8.27,6380.5
59,59,2024-03-02 13:20:00,12.0,0.0,1017.46,16.12,88.69,4360.17,1.0,298.0,3.81,4360.17
60,60,2024-03-02 13:30:00,12.0,0.0,1017.25,16.03,86.87,5480.42,1.0,298.0,6.03,5480.42
61,61,2024-03-02 13:40:00,12.0,0.0,1017.09,16.12,84.3,7548.25,1.0,298.0,12.15,7548.25
62,62,2024-03-02 13:50:00,12.0,0.09,1016.82,16.82,82.41,11723.17,1.0,298.0,30.51,11723.17
63,63,2024-03-02 14:00:00,12.0,0.1,1016.77,16.79,80.82,6427.33,1.0,298.0,8.73,6427.33
64,64,2024-03-02 14:10:00,12.0,0.0,1016.59,16.5,82.14,5609.17,1.0,298.0,6.8,5609.17
65,65,2024-03-02 14:20:00,12.0,0.0,1016.51,16.6,83.22,5568.42,1.0,298.0,6.81,5568.42
66,66,2024-03-02 14:30:00,12.0,0.0,1016.55,16.66,82.16,5779.58,1.0,298.0,7.32,5779.58
67,67,2024-03-02 14:40:00,12.0,0.0,1016.39,16.59,82.98,5467.08,1.0,298.0,7.91,5467.08
68,68,2024-03-02 14:50:00,12.0,0.0,1016.36,16.44,84.96,4830.25,1.0,298.0,6.07,4830.25
69,69,2024-03-02 15:00:00,12.0,0.0,1016.3,16.5,83.52,4858.25,1.0,298.0,6.93,4858.25
70,70,2024-03-02 15:10:00,12.0,0.0,1016.32,16.21,82.59,2217.67,1.0,298.0,1.34,2217.67
71,71,2024-03-02 15:20:00,12.0,0.1,1016.24,15.97,83.59,2373.0,1.0,298.0,1.45,2373.0
72,72,2024-03-02 15:30:00,12.0,0.04,1016.3,15.9,83.62,2303.16,1.0,298.0,1.31,2303.16
73,73,2024-03-02 15:40:00,12.0,0.0,1016.32,15.84,85.44,2039.92,1.0,298.0,1.05,2039.92
74,74,2024-03-02 15:50:00,12.0,0.0,1016.15,15.9,85.23,2330.33,1.0,298.0,1.37,2330.33
75,75,2024-03-02 16:00:00,12.0,0.0,1016.17,15.96,85.5,1872.67,1.0,298.0,0.93,1872.67
76,76,2024-03-02 16:10:00,12.0,0.0,1016.23,15.97,86.36,1625.83,1.0,298.0,0.69,1625.83
77,77,2024-03-02 16:20:00,12.0,0.0,1016.31,15.96,85.05,1731.0,1.0,298.0,0.8,1731.0
78,78,2024-03-02 16:30:00,12.0,0.0,1016.49,15.92,84.92,1676.92,1.0,298.0,0.76,1676.92
79,79,2024-03-02 16:40:00,12.0,0.0,1016.4,16.06,87.2,2010.42,1.0,298.0,1.06,2010.42
80,80,2024-03-02 16:50:00,12.0,0.0,1016.48,16.12,86.73,1304.92,1.0,298.0,0.47,1304.92
81,81,2024-03-02 17:00:00,12.0,0.0,1016.6,16.04,87.32,820.67,1.0,298.0,0.19,820.67
82,82,2024-03-02 17:10:00,12.0,0.0,1016.93,15.96,87.03,433.67,1.0,298.0,0.07,433.67
83,83,2024-03-02 17:20:00,12.0,0.03,1017.17,15.77,85.53,292.5,1.0,298.0,0.03,292.5
84,84,2024-03-02 17:30:00,12.0,0.02,1017.25,15.54,84.19,180.33,1.0,298.0,0.01,180.33
85,85,2024-03-02 17:40:00,12.0,0.04,1017.31,15.32,85.85,125.25,1.0,298.0,0.01,125.25
86,86,2024-03-02 17:50:00,12.0,0.03,1017.42,15.21,86.71,52.58,1.0,298.0,0.0,52.58
87,87,2024-03-02 18:00:00,12.0,0.0,1017.39,15.22,87.99,25.83,1.0,298.0,0.0,25.83
88,88,2024-03-03 06:10:00,12.0,0.0,1018.36,15.09,94.81,35.36,1.0,298.0,0.0,35.36
89,89,2024-03-03 06:20:00,12.0,0.1,1018.42,15.01,94.77,82.83,1.0,298.0,0.0,82.83
90,90,2024-03-03 06:30:00,12.0,0.12,1018.47,15.0,94.72,187.75,1.0,298.0,0.02,187.75
91,91,2024-03-03 06:40:00,12.0,0.02,1018.54,15.06,94.84,359.67,1.0,298.0,0.09,359.67
92,92,2024-03-03 06:50:00,12.0,0.0,1018.62,15.12,94.69,532.17,1.0,298.0,0.17,532.17
93,93,2024-03-03 07:00:00,12.0,0.0,1018.66,15.2,94.54,668.92,1.0,298.0,0.29,668.92
94,94,2024-03-03 07:10:00,12.0,0.0,1018.66,15.42,94.44,1215.42,1.0,298.0,0.87,1215.42
95,95,2024-03-03 07:20:00,12.0,0.0,1018.65,15.61,94.03,1356.67,1.0,298.0,0.99,1356.67
96,96,2024-03-03 07:30:00,12.0,0.0,1018.67,15.8,93.97,1694.67,1.0,298.0,1.61,1694.67
97,97,2024-03-03 07:40:00,12.0,0.0,1018.71,15.96,93.58,1914.25,1.0,298.0,1.94,1914.25
98,98,2024-03-03 07:50:00,12.0,0.0,1018.83,15.87,93.24,1799.17,1.0,298.0,1.72,1799.17
99,99,2024-03-03 08:00:00,12.0,0.2,1018.86,15.87,93.07,2086.42,1.0,298.0,2.28,2086.42
100,100,2024-03-03 08:10:00,12.0,0.09,1018.87,15.86,93.0,2406.25,1.0,298.0,3.11,2406.25
101,101,2024-03-03 08:20:00,12.0,0.07,1018.89,16.08,92.41,3293.25,1.0,298.0,5.61,3293.25
102,102,2024-03-03 08:30:00,12.0,0.1,1019.0,16.27,92.09,3422.16,1.0,298.0,6.02,3422.16
103,103,2024-03-03 08:40:00,12.0,0.03,1019.05,16.28,92.02,2762.92,1.0,298.0,4.01,2762.92
104,104,2024-03-03 08:50:00,12.0,0.02,1019.08,16.3,92.26,2766.08,1.0,298.0,4.04,2766.08
105,105,2024-03-03 09:00:00,12.0,0.04,1019.03,16.52,91.84,3941.42,1.0,298.0,8.2,3941.42
106,106,2024-03-03 09:10:00,12.0,0.02,1018.99,17.21,89.6,7174.58,1.0,298.0,26.64,7174.58
107,107,2024-03-03 09:20:00,12.0,0.09,1018.97,18.09,87.0,10255.17,1.0,298.0,52.26,10255.17
108,108,2024-03-03 09:30:00,12.0,0.0,1018.86,18.96,86.31,10724.17,1.0,298.0,56.14,10724.17
109,109,2024-03-03 09:40:00,12.0,0.03,1018.67,19.49,81.67,9171.0,1.0,298.0,41.65,9171.0
110,110,2024-03-03 09:50:00,12.0,0.0,1018.58,19.12,81.78,8991.58,1.0,298.0,38.12,8991.58
111,111,2024-03-03 10:00:00,12.0,0.04,1018.46,19.11,81.45,8275.5,1.0,298.0,31.35,8275.5
112,112,2024-03-03 10:10:00,12.0,0.02,1018.35,19.23,81.86,6995.58,1.0,298.0,22.98,6995.58
113,113,2024-03-03 10:20:00,12.0,0.0,1018.2,18.99,81.79,6552.92,1.0,298.0,20.34,6552.92
114,114,2024-03-03 10:30:00,12.0,0.04,1018.02,18.9,80.74,5643.25,1.0,298.0,13.16,5643.25
115,115,2024-03-03 10:40:00,12.0,0.0,1017.88,18.4,81.82,5621.75,1.0,298.0,13.31,5621.75
116,116,2024-03-03 10:50:00,12.0,0.13,1017.7,18.76,81.25,6601.75,1.0,298.0,19.27,6601.75
117,117,2024-03-03 11:00:00,12.0,0.11,1017.53,19.11,77.5,9586.92,1.0,298.0,42.29,9586.92
118,118,2024-03-03 11:10:00,12.0,0.11,1017.42,20.71,74.39,16602.92,1.0,298.0,106.7,16602.92
119,119,2024-03-03 11:20:00,12.0,0.17,1017.26,21.74,69.43,16944.92,1.0,298.0,103.99,16944.92
120,120,2024-03-03 11:30:00,12.0,0.2,1017.2,21.92,68.51,16051.0,1.0,298.0,86.85,16051.0
121,121,2024-03-03 11:40:00,12.0,0.37,1017.08,21.69,69.2,20880.17,1.0,298.0,129.61,20880.17
122,122,2024-03-03 11:50:00,12.0,0.42,1016.97,22.59,67.3,23307.0,1.0,298.0,157.24,23307.0
123,123,2024-03-03 12:00:00,12.0,0.48,1016.77,22.68,66.61,22696.75,1.0,298.0,132.63,22696.75
124,124,2024-03-03 12:10:00,12.0,0.58,1016.66,22.2,67.86,20680.5,1.0,298.0,98.14,20680.5
125,125,2024-03-03 12:20:00,12.0,0.37,1016.52,22.2,68.71,19261.25,1.0,298.0,78.71,19261.25
126,126,2024-03-03 12:30:00,12.0,0.64,1016.37,21.34,69.19,14320.5,1.0,298.0,43.16,14320.5
127,127,2024-03-03 12:40:00,12.0,0.48,1016.11,21.22,69.62,14590.75,1.0,298.0,46.14,14590.75
128,128,2024-03-03 12:50:00,12.0,0.3,1015.9,21.37,69.13,15880.0,1.0,298.0,52.76,15880.0
129,129,2024-03-03 13:00:00,12.0,0.08,1015.65,22.1,67.25,20102.0,1.0,298.0,82.8,20102.0
130,130,2024-03-03 13:10:00,12.0,0.31,1015.47,22.65,64.67,20996.17,1.0,298.0,89.43,20996.17
131,131,2024-03-03 13:20:00,12.0,0.63,1015.29,25.64,55.55,52303.48,1.0,298.0,792.51,52303.48
132,132,2024-03-03 13:30:00,12.0,0.58,1015.21,25.49,54.15,20177.25,1.0,298.0,96.91,20177.25
133,133,2024-03-03 13:40:00,12.0,0.62,1015.13,22.85,60.88,12588.5,1.0,298.0,36.17,12588.5
134,134,2024-03-03 13:50:00,12.0,0.45,1015.02,21.69,64.53,10715.25,1.0,298.0,25.21,10715.25
135,135,2024-03-03 14:00:00,12.0,0.48,1015.02,21.42,66.05,11323.5,1.0,298.0,26.3,11323.5
136,136,2024-03-03 14:10:00,12.0,0.24,1014.9,21.37,67.47,10533.58,1.0,298.0,24.18,10533.58
137,137,2024-03-03 14:20:00,12.0,0.48,1014.82,21.33,66.26,10300.0,1.0,298.0,21.88,10300.0
138,138,2024-03-03 14:30:00,12.0,0.48,1014.76,21.14,66.49,9713.75,1.0,298.0,21.16,9713.75
139,139,2024-03-03 14:40:00,12.0,0.17,1014.76,21.34,66.98,9665.75,1.0,298.0,20.96,9665.75
140,140,2024-03-03 14:50:00,12.0,0.44,1014.73,21.19,65.93,6866.92,1.0,298.0,11.6,6866.92
141,141,2024-03-03 15:00:00,12.0,0.21,1014.7,20.71,68.59,5449.75,1.0,298.0,7.21,5449.75
142,142,2024-03-03 15:10:00,12.0,0.08,1014.68,20.81,67.97,5848.08,1.0,298.0,7.95,5848.08
143,143,2024-03-03 15:20:00,12.0,0.03,1014.66,20.86,66.92,6865.33,1.0,298.0,10.45,6865.33
