,DateTime,Date,Month,Day,Hour,Minute,Weekday,WindSpeed,Pressure,Temperature,Humidity,Sunlight,sum_ele,sum_pos,high,ele,Power,Precp
0,2024-03-02 06:30:00,61.0,3,2,6,30,5,0.095,1020.251,14.133,93.129,429.917,0.0125801857815573,-0.9086506003093706,38.04,-0.6819983600624984,0.072,0.0
1,2024-03-02 06:40:00,61.0,3,2,6,40,5,0.488,1020.224,14.216,93.994,924.333,0.0125772718315182,-0.9091474205679932,38.04,-0.6819983600624984,0.233,0.0
2,2024-03-02 06:50:00,61.0,3,2,6,50,5,0.192,1020.306,14.34,94.115,1712.917,0.0125743578813723,-0.9096429504170052,38.04,-0.6819983600624984,0.7,0.0
3,2024-03-02 07:00:00,61.0,3,2,7,0,5,0.261,1020.497,14.543,94.36,2717.001,0.0125714439311196,-0.9101371891530704,38.04,-0.6819983600624984,1.664,0.0
4,2024-03-02 07:10:00,61.0,3,2,7,10,5,1.0550000000000002,1020.258,14.63,94.018,3511.749,0.0125685299807601,-0.9106301360746848,38.04,-0.6819983600624984,2.821,0.0
5,2024-03-02 07:20:00,61.0,3,2,7,20,5,0.454,1020.499,14.529,95.1,1607.332,0.0125656160302938,-0.911121790482178,38.04,-0.6819983600624984,0.5810000000000001,0.0
6,2024-03-02 07:30:00,61.0,3,2,7,30,5,0.0,1020.486,14.515,96.084,1734.918,0.0125627020797209,-0.9116121516777148,38.04,-0.6819983600624984,0.63,0.0
7,2024-03-02 07:40:00,61.0,3,2,7,40,5,0.13,1020.607,14.773,96.685,4238.9169999999995,0.0125597881290413,-0.9121012189652946,38.04,-0.6819983600624984,3.776,0.0
8,2024-03-02 07:50:00,61.0,3,2,7,50,5,0.339,1020.776,14.72,97.027,2838.75,0.012556874178255,-0.9125889916507536,38.04,-0.6819983600624984,1.626,0.0
9,2024-03-02 08:00:00,61.0,3,2,8,0,5,0.148,1020.645,14.77,96.865,6213.916,0.0125539602273621,-0.913075469041766,38.04,-0.6819983600624984,8.333,0.5
10,2024-03-02 08:10:00,61.0,3,2,8,10,5,0.1129999999999999,1020.64,15.781,95.548,12268.999,0.0125510462763625,-0.9135606504478438,38.04,-0.6819983600624984,29.31,0.5
11,2024-03-02 08:20:00,61.0,3,2,8,20,5,0.105,1020.579,16.581,93.795,13612.166999999998,0.0125481323252564,-0.9140445351803392,38.04,-0.6819983600624984,38.474,0.5
12,2024-03-02 08:30:00,61.0,3,2,8,30,5,0.0,1020.662,16.854,93.156,10517.667,0.0125452183740437,-0.9145271225524436,38.04,-0.6819983600624984,21.354,0.5
13,2024-03-02 08:40:00,61.0,3,2,8,40,5,0.051,1020.779,16.054,94.671,6629.9169999999995,0.0125423044227245,-0.9150084118791916,38.04,-0.6819983600624984,8.393,0.5
14,2024-03-02 08:50:00,61.0,3,2,8,50,5,0.0349999999999999,1020.743,15.472,95.668,5106.1669999999995,0.0125393904712987,-0.9154884024774584,38.04,-0.6819983600624984,4.92,0.5
15,2024-03-02 09:00:00,61.0,3,2,9,0,5,0.635,1020.563,16.509,92.906,19133.002,0.0125364765197665,-0.9159670936659636,38.04,-0.6819983600624984,121.959,0.0
16,2024-03-02 09:10:00,61.0,3,2,9,10,5,1.09,1020.397,21.672,75.693,40267.293,0.0125335625681278,-0.9164444847652716,38.04,-0.6819983600624984,319.76599999999996,0.0
17,2024-03-02 09:20:00,61.0,3,2,9,20,5,1.227,1020.383,20.811,75.191,28759.28,0.0125306486163827,-0.9169205750977908,38.04,-0.6819983600624984,151.91299999999998,0.0
18,2024-03-02 09:30:00,61.0,3,2,9,30,5,1.219,1020.441,19.347,79.478,20021.5,0.0125277346645311,-0.9173953639877772,38.04,-0.6819983600624984,68.623,0.0
19,2024-03-02 09:40:00,61.0,3,2,9,40,5,1.105,1020.397,18.259,78.842,15427.333000000002,0.0125248207125732,-0.9178688507613324,38.04,-0.6819983600624984,40.484,0.0
20,2024-03-02 09:50:00,61.0,3,2,9,50,5,0.836,1020.364,18.568,80.098,18208.584,0.0125219067605088,-0.9183410347464078,38.04,-0.6819983600624984,54.188,0.0
21,2024-03-02 10:00:00,61.0,3,2,10,0,5,0.635,1020.249,18.508,79.012,16047.416,0.0125189928083382,-0.918811915272803,38.04,-0.6819983600624984,45.494,0.0
22,2024-03-02 10:10:00,61.0,3,2,10,10,5,0.173,1020.16,19.517000000000003,76.582,17753.833,0.0125160788560612,-0.919281491672168,38.04,-0.6819983600624984,55.659000000000006,0.0
23,2024-03-02 10:20:00,61.0,3,2,10,20,5,0.472,1020.255,18.425,74.548,7036.834,0.0125131649036779,-0.9197497632780036,38.04,-0.6819983600624984,8.95,0.0
24,2024-03-02 10:30:00,61.0,3,2,10,30,5,0.611,1020.327,17.500999999999998,82.348,16586.166999999998,0.0125102509511884,-0.9202167294256628,38.04,-0.6819983600624984,55.43399999999999,0.0
25,2024-03-02 10:40:00,61.0,3,2,10,40,5,0.6519999999999999,1020.068,18.294,81.89500000000001,21849.749,0.0125073369985926,-0.9206823894523516,38.04,-0.6819983600624984,87.299,0.0
26,2024-03-02 10:50:00,61.0,3,2,10,50,5,0.766,1019.969,18.726,77.801,26501.582,0.0125044230458906,-0.9211467426971294,38.04,-0.6819983600624984,121.15,0.0
27,2024-03-02 11:00:00,61.0,3,2,11,0,5,0.348,1019.893,19.157,76.11,20966.5,0.0125015090930825,-0.9216097885009108,38.04,-0.6819983600624984,86.071,0.0
28,2024-03-02 11:10:00,61.0,3,2,11,10,5,0.461,1020.032,17.630000000000003,79.559,9231.332,0.0124985951401681,-0.9220715262064664,38.04,-0.6819983600624984,14.629,0.0
29,2024-03-02 11:20:00,61.0,3,2,11,20,5,0.5309999999999999,1019.828,17.814999999999998,79.811,24346.666,0.0124956811871476,-0.9225319551584222,38.04,-0.6819983600624984,107.872,0.0
30,2024-03-02 11:30:00,61.0,3,2,11,30,5,0.758,1019.473,19.869999999999997,76.926,34744.53,0.012492767234021,-0.9229910747032636,38.04,-0.6819983600624984,219.963,0.0
