,idx,DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),height,angle,Power(mW),SunlightPred
0,0,2024-03-09 14:00:00,3.0,2.05,1015.62,17.66,50.18,8406.56,5.0,180.0,15.84,8406.56
1,1,2024-03-09 14:10:00,3.0,2.47,1015.63,18.1,49.23,10859.83,5.0,180.0,26.7,10859.83
2,2,2024-03-09 14:20:00,3.0,2.03,1015.67,18.47,48.14,11468.33,5.0,180.0,28.81,11468.33
3,3,2024-03-09 14:30:00,3.0,1.86,1015.71,18.24,48.42,9939.42,5.0,180.0,22.68,9939.42
4,4,2024-03-09 14:40:00,3.0,1.45,1015.74,18.1,49.46,9616.58,5.0,180.0,21.97,9616.58
5,5,2024-03-09 14:50:00,3.0,2.01,1015.81,18.08,49.81,10126.17,5.0,180.0,23.53,10126.17
6,6,2024-03-09 15:00:00,3.0,2.14,1015.73,17.7,50.62,7186.17,5.0,180.0,11.67,7186.17
7,7,2024-03-09 15:10:00,3.0,1.29,1015.77,17.63,51.74,7220.83,5.0,180.0,11.09,7220.83
8,8,2024-03-09 15:20:00,3.0,1.52,1015.8,17.84,51.11,9976.58,5.0,180.0,23.21,9976.58
9,9,2024-03-09 15:30:00,3.0,1.14,1015.69,18.28,49.78,11324.25,5.0,180.0,31.1,11324.25
10,10,2024-03-09 15:40:00,3.0,1.33,1015.74,18.24,49.53,8738.0,5.0,180.0,17.39,8738.0
11,11,2024-03-09 15:50:00,3.0,1.71,1015.71,18.07,49.67,9844.91,5.0,180.0,23.35,9844.91
12,12,2024-03-09 16:00:00,3.0,1.46,1015.8,18.01,50.33,8201.83,5.0,180.0,15.78,8201.83
13,13,2024-03-09 16:10:00,3.0,0.99,1015.76,17.92,50.51,7104.08,5.0,180.0,13.1,7104.08
14,14,2024-03-09 16:20:00,3.0,0.45,1015.72,18.16,50.45,7049.75,5.0,180.0,13.23,7049.75
15,15,2024-03-09 16:30:00,3.0,0.53,1015.72,17.72,51.51,3825.75,5.0,180.0,3.93,3825.75
16,16,2024-03-09 16:40:00,3.0,0.37,1015.69,17.42,52.49,2497.25,5.0,180.0,1.77,2497.25
17,17,2024-03-09 16:50:00,3.0,0.16,1015.67,17.07,54.26,1618.08,5.0,180.0,0.75,1618.08
18,18,2024-03-09 17:00:00,3.0,0.2,1015.68,16.81,55.38,1406.5,5.0,180.0,0.55,1406.5
19,19,2024-03-09 17:10:00,3.0,0.1,1015.7,16.66,56.78,1342.0,5.0,180.0,0.52,1342.0
20,20,2024-03-09 17:20:00,3.0,0.03,1015.73,16.56,57.26,735.34,5.0,180.0,0.18,735.34
21,21,2024-03-09 17:30:00,3.0,0.02,1015.76,16.36,57.56,269.33,5.0,180.0,0.02,269.33
22,22,2024-03-09 17:40:00,3.0,0.0,1015.82,16.21,59.44,214.08,5.0,180.0,0.02,214.08
23,23,2024-03-09 17:50:00,3.0,0.0,1015.94,16.1,61.52,101.83,5.0,180.0,0.01,101.83
24,24,2024-03-09 18:00:00,3.0,0.0,1015.85,15.93,64.07,37.38,5.0,180.0,0.0,37.38
25,25,2024-03-10 05:50:00,3.0,1.63,1017.95,14.17,81.55,32.71,5.0,180.0,0.0,32.71
26,26,2024-03-10 06:00:00,3.0,1.44,1018.02,14.18,81.76,117.83,5.0,180.0,0.01,117.83
27,27,2024-03-10 06:10:00,3.0,0.96,1017.95,14.22,81.77,265.83,5.0,180.0,0.03,265.83
28,28,2024-03-10 06:20:00,3.0,1.5,1018.08,14.26,81.71,558.92,5.0,180.0,0.1,558.92
29,29,2024-03-10 06:30:00,3.0,1.29,1018.16,14.32,82.18,809.0,5.0,180.0,0.2,809.0
30,30,2024-03-10 06:40:00,3.0,0.92,1018.25,14.39,82.22,1273.0,5.0,180.0,0.46,1273.0
31,31,2024-03-10 06:50:00,3.0,1.44,1018.4,14.57,81.34,2261.33,5.0,180.0,1.32,2261.33
32,32,2024-03-10 07:00:00,3.0,1.28,1018.63,14.72,80.53,2632.0,5.0,180.0,1.75,2632.0
33,33,2024-03-10 07:10:00,3.0,1.05,1018.7,14.87,79.97,3113.83,5.0,180.0,2.3,3113.83
34,34,2024-03-10 07:20:00,3.0,0.81,1018.88,15.04,79.2,3417.83,5.0,180.0,2.64,3417.83
35,35,2024-03-10 07:30:00,3.0,1.17,1019.07,15.07,78.96,3372.0,5.0,180.0,2.51,3372.0
36,36,2024-03-10 07:40:00,3.0,1.71,1019.2,15.17,78.25,4441.42,5.0,180.0,4.35,4441.42
37,37,2024-03-10 07:50:00,3.0,1.0,1019.43,15.37,77.89,5285.17,5.0,180.0,5.9,5285.17
38,38,2024-03-10 08:00:00,3.0,1.81,1019.58,15.19,78.63,4573.67,5.0,180.0,4.49,4573.67
39,39,2024-03-10 08:10:00,3.0,1.56,1019.75,15.21,78.22,4535.58,5.0,180.0,4.45,4535.58
40,40,2024-03-10 08:20:00,3.0,1.11,1019.88,15.4,77.0,4960.58,5.0,180.0,4.79,4960.58
41,41,2024-03-10 08:30:00,3.0,1.57,1020.01,15.55,76.15,5045.67,5.0,180.0,5.2,5045.67
42,42,2024-03-10 08:40:00,3.0,0.55,1020.05,15.88,75.27,6349.5,5.0,180.0,8.35,6349.5
43,43,2024-03-10 08:50:00,3.0,1.44,1020.21,16.01,74.39,6426.92,5.0,180.0,8.13,6426.92
44,44,2024-03-10 09:00:00,3.0,0.64,1020.3,16.06,74.43,6198.5,5.0,180.0,7.56,6198.5
45,45,2024-03-10 09:10:00,3.0,0.93,1020.43,16.25,75.42,7916.58,5.0,180.0,12.21,7916.58
46,46,2024-03-10 09:20:00,3.0,1.17,1020.31,15.89,77.85,8667.0,5.0,180.0,17.14,8667.0
47,47,2024-03-10 09:30:00,3.0,0.96,1020.38,15.85,78.74,8258.09,5.0,180.0,15.94,8258.09
48,48,2024-03-10 09:40:00,3.0,1.03,1020.3,16.01,78.95,9784.25,5.0,180.0,22.38,9784.25
49,49,2024-03-10 09:50:00,3.0,1.33,1020.21,16.47,76.96,12742.42,5.0,180.0,37.93,12742.42
50,50,2024-03-10 10:00:00,3.0,1.01,1020.18,16.87,75.63,12215.75,5.0,180.0,35.76,12215.75
51,51,2024-03-10 10:10:00,3.0,0.7,1020.24,17.16,75.09,12005.58,5.0,180.0,33.38,12005.58
52,52,2024-03-10 10:20:00,3.0,0.59,1020.22,17.54,74.39,14300.33,5.0,180.0,49.75,14300.33
53,53,2024-03-10 10:30:00,3.0,0.45,1020.21,18.74,69.36,19295.25,5.0,180.0,84.81,19295.25
