,idx,DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),height,angle,Power(mW),SunlightPred
0,0,2024-03-03 12:20:00,16.0,1.17,1019.17,32.38,37.35,58352.63,1.0,82.0,888.26,58352.63
1,1,2024-03-03 12:30:00,16.0,2.16,1019.0,30.82,39.01,58168.08,1.0,82.0,610.77,58168.08
2,2,2024-03-03 12:40:00,16.0,1.74,1018.76,30.7,40.2,73162.28,1.0,82.0,1033.88,73162.28
3,3,2024-03-03 12:50:00,16.0,1.86,1018.43,30.92,39.02,50735.3,1.0,82.0,452.48,50735.3
4,4,2024-03-03 13:00:00,16.0,1.52,1018.3,31.06,39.43,61489.24,1.0,82.0,674.02,61489.24
5,5,2024-03-03 13:10:00,16.0,2.08,1018.17,29.39,41.34,52029.41,1.0,82.0,500.13,52029.41
6,6,2024-03-03 13:20:00,16.0,2.13,1018.06,26.81,46.64,35562.88,1.0,82.0,212.07,35562.88
7,7,2024-03-03 13:30:00,16.0,1.58,1017.93,26.6,47.47,33044.66,1.0,82.0,180.92,33044.66
8,8,2024-03-03 13:40:00,16.0,1.66,1017.82,25.88,49.25,28176.42,1.0,82.0,131.18,28176.42
9,9,2024-03-03 13:50:00,16.0,1.47,1017.77,25.49,50.63,29951.67,1.0,82.0,149.51,29951.67
10,10,2024-03-03 14:00:00,16.0,2.21,1017.7,25.64,50.14,30485.67,1.0,82.0,155.79,30485.67
11,11,2024-03-03 14:10:00,16.0,2.0,1017.63,25.26,50.97,29131.75,1.0,82.0,142.85,29131.75
12,12,2024-03-03 14:20:00,16.0,1.8,1017.55,25.09,51.83,26531.92,1.0,82.0,118.66,26531.92
13,13,2024-03-03 14:30:00,16.0,2.36,1017.47,24.4,53.57,23765.58,1.0,82.0,95.96,23765.58
14,14,2024-03-03 14:40:00,16.0,1.44,1017.46,23.93,55.17,17020.5,1.0,82.0,50.75,17020.5
15,15,2024-03-03 14:50:00,16.0,1.38,1017.48,23.8,55.88,19240.67,1.0,82.0,64.43,19240.67
16,16,2024-03-03 15:00:00,16.0,1.72,1017.47,23.9,55.97,16979.08,1.0,82.0,50.48,16979.08
17,17,2024-03-03 15:10:00,16.0,2.05,1017.46,22.89,59.27,9997.58,1.0,82.0,18.05,9997.58
18,18,2024-03-03 15:20:00,16.0,1.18,1017.49,22.26,59.76,8680.25,1.0,82.0,13.74,8680.25
19,19,2024-03-03 15:30:00,16.0,1.49,1017.41,22.25,60.69,7415.92,1.0,82.0,10.39,7415.92
20,20,2024-03-03 15:40:00,16.0,1.55,1017.39,22.14,60.71,9780.67,1.0,82.0,17.09,9780.67
21,21,2024-03-03 15:50:00,16.0,2.1,1017.32,22.15,61.34,11092.0,1.0,82.0,20.9,11092.0
22,22,2024-03-03 16:00:00,16.0,1.95,1017.3,21.88,62.16,10042.83,1.0,82.0,17.12,10042.83
23,23,2024-03-03 16:10:00,16.0,1.52,1017.32,22.05,62.09,10973.83,1.0,82.0,21.02,10973.83
