,DateTime,Date,Month,Day,Hour,Minute,Weekday,WindSpeed,Pressure,Temperature,Humidity,Sunlight,sum_ele,sum_pos,high,ele,Power,Precp
0,2024-03-01 15:40:00,60.0,3,1,15,40,4,0.1733333333333333,1015.8133333333332,17.666666666666668,71.21222222222224,2720.1400000000003,0.4624365302598061,-0.9164403501285632,39.04,-0.8829475928589271,1.7155555555555555,0.0
1,2024-03-01 15:50:00,60.0,3,1,15,50,4,0.1309999999999999,1015.831,17.71,72.19800000000001,2849.5,0.4305986119669751,-0.92689299256763,39.04,-0.8829475928589271,1.805,0.0
2,2024-03-01 16:00:00,60.0,3,1,16,0,4,0.1299999999999999,1015.946,17.303,75.394,2470.834,0.3982154776030944,-0.9366721892483976,39.04,-0.8829475928589271,1.262,0.0
3,2024-03-01 16:10:00,60.0,3,1,16,10,4,0.156,1015.985,17.019,76.838,2126.668,0.3814289337769339,-0.9437047689146438,39.04,-0.8829475928589271,0.875,0.0
4,2024-03-01 16:20:00,60.0,3,1,16,20,4,0.304,1016.141,16.666,78.856,1291.749,0.3645156460609574,-0.9503348265602212,39.04,-0.8829475928589271,0.366,0.0
5,2024-03-01 16:30:00,60.0,3,1,16,30,4,0.149,1016.226,16.585,81.06899999999999,1211.333,0.3474812345214075,-0.9565595342411696,39.04,-0.8829475928589271,0.328,0.0
6,2024-03-01 16:40:00,60.0,3,1,16,40,4,0.409,1016.287,16.355,81.9,1662.583,0.3303313594724034,-0.9623762369090084,39.04,-0.8829475928589271,0.585,0.0
7,2024-03-01 16:50:00,60.0,3,1,16,50,4,0.471,1016.324,16.064,81.81800000000001,1033.416,0.3130717195950911,-0.967782453543201,39.04,-0.8829475928589271,0.249,0.0
8,2024-03-02 06:30:00,61.0,3,2,6,30,5,0.496,1019.625,14.323,86.962,280.66700000000003,0.0125801857815573,-0.9086506003093706,39.04,-0.8829475928589271,0.04,0.0
9,2024-03-02 06:40:00,61.0,3,2,6,40,5,0.305,1019.585,14.191999999999998,87.421,626.251,0.0125772718315182,-0.9091474205679932,39.04,-0.8829475928589271,0.145,0.0
