idx,DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),height,angle,Power(mW)
0,2024-03-09 14:00:00,3.0,2.05,1015.62,17.66,50.18,8406.56,5.0,180.0,15.84
1,2024-03-09 14:10:00,3.0,2.47,1015.63,18.1,49.23,10859.83,5.0,180.0,26.7
2,2024-03-09 14:20:00,3.0,2.03,1015.67,18.47,48.14,11468.33,5.0,180.0,28.81
3,2024-03-09 14:30:00,3.0,1.86,1015.71,18.24,48.42,9939.42,5.0,180.0,22.68
4,2024-03-09 14:40:00,3.0,1.45,1015.74,18.1,49.46,9616.58,5.0,180.0,21.97
5,2024-03-09 14:50:00,3.0,2.01,1015.81,18.08,49.81,10126.17,5.0,180.0,23.53
6,2024-03-09 15:00:00,3.0,2.14,1015.73,17.7,50.62,7186.17,5.0,180.0,11.67
7,2024-03-09 15:10:00,3.0,1.29,1015.77,17.63,51.74,7220.83,5.0,180.0,11.09
8,2024-03-09 15:20:00,3.0,1.52,1015.8,17.84,51.11,9976.58,5.0,180.0,23.21
9,2024-03-09 15:30:00,3.0,1.14,1015.69,18.28,49.78,11324.25,5.0,180.0,31.1
10,2024-03-09 15:40:00,3.0,1.33,1015.74,18.24,49.53,8738.0,5.0,180.0,17.39
11,2024-03-09 15:50:00,3.0,1.71,1015.71,18.07,49.67,9844.91,5.0,180.0,23.35
12,2024-03-09 16:00:00,3.0,1.46,1015.8,18.01,50.33,8201.83,5.0,180.0,15.78
13,2024-03-09 16:10:00,3.0,0.99,1015.76,17.92,50.51,7104.08,5.0,180.0,13.1
14,2024-03-09 16:20:00,3.0,0.45,1015.72,18.16,50.45,7049.75,5.0,180.0,13.23
15,2024-03-09 16:30:00,3.0,0.53,1015.72,17.72,51.51,3825.75,5.0,180.0,3.93
16,2024-03-09 16:40:00,3.0,0.37,1015.69,17.42,52.49,2497.25,5.0,180.0,1.77
17,2024-03-09 16:50:00,3.0,0.16,1015.67,17.07,54.26,1618.08,5.0,180.0,0.75
18,2024-03-09 17:00:00,3.0,0.2,1015.68,16.81,55.38,1406.5,5.0,180.0,0.55
19,2024-03-09 17:10:00,3.0,0.1,1015.7,16.66,56.78,1342.0,5.0,180.0,0.52
20,2024-03-09 17:20:00,3.0,0.03,1015.73,16.56,57.26,735.34,5.0,180.0,0.18
21,2024-03-09 17:30:00,3.0,0.02,1015.76,16.36,57.56,269.33,5.0,180.0,0.02
22,2024-03-09 17:40:00,3.0,0.0,1015.82,16.21,59.44,214.08,5.0,180.0,0.02
23,2024-03-09 17:50:00,3.0,0.0,1015.94,16.1,61.52,101.83,5.0,180.0,0.01
24,2024-03-09 18:00:00,3.0,0.0,1015.85,15.93,64.07,37.38,5.0,180.0,0.0
