idx,DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),height,angle,Power(mW)
0,2024-02-21 06:00:00,9.0,0.0,1013.39,22.65,74.67,28.33,3.0,151.0,0.0
1,2024-02-21 06:10:00,9.0,0.0,1013.44,22.6,74.86,114.75,3.0,151.0,0.01
2,2024-02-21 06:20:00,9.0,0.0,1013.61,21.9,77.09,410.08,3.0,151.0,0.05
3,2024-02-21 06:30:00,9.0,0.0,1013.76,22.13,76.15,906.58,3.0,151.0,0.16
4,2024-02-21 06:40:00,9.0,0.0,1013.87,22.45,74.62,1587.34,3.0,151.0,0.4
5,2024-02-21 06:50:00,9.0,0.0,1013.92,22.76,73.51,2501.58,3.0,151.0,1.04
6,2024-02-21 07:00:00,9.0,0.0,1013.89,23.06,72.65,3844.58,3.0,151.0,2.85
7,2024-02-21 07:10:00,9.0,0.07,1014.01,23.39,72.08,6226.67,3.0,151.0,5.45
8,2024-02-21 07:20:00,9.0,0.18,1014.2,25.21,64.98,37923.13,3.0,151.0,231.07
9,2024-02-21 07:30:00,9.0,0.44,1014.43,30.15,47.94,47846.65,3.0,151.0,429.49
10,2024-02-21 07:40:00,9.0,0.02,1014.48,33.74,39.88,56587.0,3.0,151.0,579.89
11,2024-02-21 07:50:00,9.0,0.0,1014.58,36.42,34.38,64114.83,3.0,151.0,716.03
12,2024-02-21 08:00:00,9.0,0.0,1014.53,38.49,30.8,70927.87,3.0,151.0,847.34
13,2024-02-21 08:10:00,9.0,0.0,1014.54,39.64,28.27,77160.33,3.0,151.0,973.83
14,2024-02-21 08:20:00,9.0,0.16,1014.63,39.93,27.13,83198.37,3.0,151.0,1088.65
15,2024-02-21 08:30:00,9.0,0.06,1014.66,39.55,26.52,89280.97,3.0,151.0,1198.71
16,2024-02-21 08:40:00,9.0,0.09,1014.75,40.89,24.88,95518.28,3.0,151.0,1305.07
17,2024-02-21 08:50:00,9.0,0.11,1014.79,41.72,24.12,100466.51,3.0,151.0,1374.89
18,2024-02-21 09:00:00,9.0,0.07,1014.76,42.48,23.84,104903.17,3.0,151.0,1426.89
19,2024-02-21 09:10:00,9.0,0.03,1014.67,44.45,21.36,110428.74,3.0,151.0,1469.53
20,2024-02-21 09:20:00,9.0,0.03,1014.61,45.02,18.83,115028.15,3.0,151.0,1510.83
21,2024-02-21 09:30:00,9.0,0.05,1014.53,44.73,19.21,117701.78,3.0,151.0,1546.86
22,2024-02-21 09:40:00,9.0,0.15,1014.44,45.39,18.76,117758.2,3.0,151.0,1577.82
23,2024-02-21 09:50:00,9.0,0.2,1014.31,44.84,18.22,117758.2,3.0,151.0,1612.55
24,2024-02-21 10:00:00,9.0,0.14,1014.12,45.15,18.13,117758.2,3.0,151.0,1626.31
25,2024-02-21 10:10:00,9.0,0.54,1013.94,44.61,17.89,117758.2,3.0,151.0,1660.55
26,2024-02-21 10:20:00,9.0,0.45,1013.77,44.67,18.03,117758.2,3.0,151.0,1672.73
27,2024-02-21 10:30:00,9.0,0.15,1013.65,45.52,17.55,117758.2,3.0,151.0,1652.85
28,2024-02-21 10:40:00,9.0,0.09,1013.44,47.22,16.56,117758.2,3.0,151.0,1630.73
29,2024-02-21 10:50:00,9.0,0.06,1013.21,47.98,15.53,117758.2,3.0,151.0,1626.22
30,2024-02-21 11:00:00,9.0,0.14,1012.97,47.38,16.37,117758.2,3.0,151.0,1652.49
31,2024-02-21 11:10:00,9.0,0.19,1012.76,47.06,16.99,117758.2,3.0,151.0,1661.05
