idx,DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),height,angle,Power(mW)
0,2024-04-18 05:10:00,4.0,0.0,1001.67,24.77,83.44,30.0,5.0,161.0,0.0
1,2024-04-18 05:20:00,4.0,0.0,1001.7,24.8,83.3,147.75,5.0,161.0,0.01
2,2024-04-18 05:30:00,4.0,0.11,1001.53,24.77,82.72,621.08,5.0,161.0,0.13
3,2024-04-18 05:40:00,4.0,0.38,1001.23,24.91,81.0,2054.75,5.0,161.0,1.19
4,2024-04-18 05:50:00,4.0,0.25,1000.97,25.42,79.03,5798.0,5.0,161.0,8.12
5,2024-04-18 06:00:00,4.0,0.16,1000.95,26.18,76.48,9609.58,5.0,161.0,18.21
6,2024-04-18 06:10:00,4.0,0.0,1001.03,27.14,72.03,10056.33,5.0,161.0,19.47
7,2024-04-18 06:20:00,4.0,0.61,1001.06,27.31,70.34,11480.08,5.0,161.0,23.26
8,2024-04-18 06:30:00,4.0,0.3,1001.22,27.55,67.16,9846.75,5.0,161.0,18.3
9,2024-04-18 06:40:00,4.0,0.1,1001.47,27.51,68.52,10591.25,5.0,161.0,18.75
10,2024-04-18 06:50:00,4.0,0.22,1001.56,27.76,68.89,10334.91,5.0,161.0,17.76
11,2024-04-18 07:00:00,4.0,0.06,1001.79,28.08,68.18,11884.08,5.0,161.0,22.66
12,2024-04-18 07:10:00,4.0,0.06,1001.9,28.68,66.61,12909.92,5.0,161.0,28.41
13,2024-04-18 07:20:00,4.0,0.02,1002.21,29.08,65.31,11329.0,5.0,161.0,21.88
14,2024-04-18 07:30:00,4.0,0.15,1002.57,29.45,64.32,17251.83,5.0,161.0,48.54
15,2024-04-18 07:40:00,4.0,0.19,1002.49,30.59,60.45,26329.83,5.0,161.0,108.24
16,2024-04-18 07:50:00,4.0,0.19,1002.56,32.39,54.62,28898.58,5.0,161.0,140.55
17,2024-04-18 08:00:00,4.0,0.04,1002.75,32.77,53.77,24395.58,5.0,161.0,107.67
18,2024-04-18 08:10:00,4.0,0.03,1003.08,33.58,51.65,25315.75,5.0,161.0,114.05
19,2024-04-18 08:20:00,4.0,0.16,1003.33,34.8,48.69,44160.62,5.0,161.0,169.8
20,2024-04-18 08:30:00,4.0,0.23,1003.27,39.52,37.76,72974.51,5.0,161.0,353.54
21,2024-04-18 08:40:00,4.0,0.46,1003.17,37.48,40.31,25051.08,5.0,161.0,95.8
22,2024-04-18 08:50:00,4.0,0.0,1003.3,35.79,44.75,21411.25,5.0,161.0,70.97
23,2024-04-18 09:00:00,4.0,0.1,1003.36,35.79,45.02,32026.82,5.0,161.0,163.64
24,2024-04-18 09:10:00,4.0,0.04,1003.48,35.08,46.79,14743.5,5.0,161.0,41.11
25,2024-04-18 09:20:00,4.0,1.31,1003.59,31.56,62.2,2073.42,5.0,161.0,0.62
26,2024-04-18 09:30:00,4.0,3.49,1003.88,25.58,89.19,2028.83,5.0,161.0,0.6
27,2024-04-18 09:40:00,4.0,3.14,1004.06,24.83,92.26,9740.58,5.0,161.0,15.16
28,2024-04-18 09:50:00,4.0,3.22,1004.33,24.52,92.69,9474.92,5.0,161.0,22.24
29,2024-04-18 10:00:00,4.0,2.45,1004.32,24.74,92.56,11589.08,5.0,161.0,22.66
