idx,DateTime,LocationCode,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),height,angle,Power(mW)
0,2024-03-01 15:40:00,12.0,0.17,1015.81,17.67,71.21,2720.14,1.0,298.0,1.72
1,2024-03-01 15:50:00,12.0,0.13,1015.83,17.71,72.2,2849.5,1.0,298.0,1.81
2,2024-03-01 16:00:00,12.0,0.13,1015.95,17.3,75.39,2470.83,1.0,298.0,1.26
3,2024-03-01 16:10:00,12.0,0.16,1015.98,17.02,76.84,2126.67,1.0,298.0,0.88
4,2024-03-01 16:20:00,12.0,0.3,1016.14,16.67,78.86,1291.75,1.0,298.0,0.37
5,2024-03-01 16:30:00,12.0,0.15,1016.23,16.58,81.07,1211.33,1.0,298.0,0.33
6,2024-03-01 16:40:00,12.0,0.41,1016.29,16.36,81.9,1662.58,1.0,298.0,0.58
7,2024-03-01 16:50:00,12.0,0.47,1016.32,16.06,81.82,1033.42,1.0,298.0,0.25
8,2024-03-01 17:00:00,12.0,0.12,1016.37,16.08,83.34,608.42,1.0,298.0,0.1
9,2024-03-01 17:10:00,12.0,0.11,1016.61,16.08,83.53,452.83,1.0,298.0,0.07
10,2024-03-01 17:20:00,12.0,0.08,1016.56,16.05,84.4,371.33,1.0,298.0,0.05
11,2024-03-01 17:30:00,12.0,0.0,1016.62,15.93,85.51,201.25,1.0,298.0,0.02
12,2024-03-01 17:40:00,12.0,0.0,1016.63,15.86,85.88,130.5,1.0,298.0,0.01
13,2024-03-01 17:50:00,12.0,0.04,1016.76,15.62,85.8,49.75,1.0,298.0,0.0
14,2024-03-01 18:00:00,12.0,0.0,1016.79,15.6,86.85,25.42,1.0,298.0,0.0
15,2024-03-02 06:00:00,12.0,0.0,1019.44,14.48,86.74,23.75,1.0,298.0,0.0
16,2024-03-02 06:10:00,12.0,0.24,1019.44,14.5,86.87,48.75,1.0,298.0,0.0
17,2024-03-02 06:20:00,12.0,0.35,1019.6,14.47,86.6,94.92,1.0,298.0,0.0
