"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","2.3","266","0.0","0.00"
"02","2.3","203","0.0","0.00"
"03","1.1","261","0.0","0.00"
"04","0.6","228","0.0","0.00"
"05","0.6","223","0.0","0.00"
"06","1.3","197","0.0","0.00"
"07","1.1","206","0.0","0.00"
"08","1.5","219","0.0","0.10"
"09","3.0","215","0.0","0.70"
"10","2.5","211","0.0","1.50"
"11","2.3","245","0.0","2.50"
"12","2.5","210","0.0","2.70"
"13","2.8","124","0.0","0.70"
"14","2.8","84","0.0","0.60"
"15","3.2","147","0.0","0.50"
"16","1.4","145","0.0","0.20"
"17","2.3","264","0.0","0.00"
"18","0.7","239","0.0","0.00"
"19","0.3","216","0.0","0.00"
"20","1.1","216","0.0","0.00"
"21","0.6","213","0.0","0.00"
"22","0.0","0","0.0","0.00"
"23","0.0","0","0.0","0.00"
"24","0.0","0","0.0","0.00"
