"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1007.6","25.1","100","0.2","0","1.9","208","0.0","0.00"
"02","1007.2","25.0","100","0.3","264","1.6","270","0.0","0.00"
"03","1007.1","24.9","100","0.3","242","1.8","249","0.0","0.00"
"04","1007.5","24.7","100","0.0","0","2.3","226","0.0","0.00"
"05","1008.0","24.5","100","0.0","0","1.2","255","0.0","0.00"
"06","1008.5","24.8","100","0.5","225","1.6","283","0.0","0.00"
"07","1009.0","25.8","100","0.7","244","1.9","179","0.0","0.30"
"08","1009.1","28.6","88","1.0","220","2.8","215","0.0","1.10"
"09","1009.0","31.5","77","0.6","237","2.5","258","0.5","2.00"
"10","1008.7","32.7","71","0.5","237","1.8","227","0.0","2.40"
"11","1007.4","33.8","65","0.8","239","2.4","269","0.0","2.50"
"12","1006.6","34.7","62","0.6","189","2.7","218","0.0","3.60"
"13","1006.3","33.9","65","1.0","124","3.9","108","0.0","3.30"
"14","1006.1","34.8","61","0.5","152","4.1","68","0.0","3.30"
"15","1006.1","35.0","59","0.8","141","3.2","137","0.0","2.90"
"16","1005.2","34.9","54","0.3","191","3.4","117","0.0","2.10"
"17","1005.7","34.7","60","0.2","0","2.3","330","0.0","1.40"
"18","1005.7","30.4","74","0.0","0","2.0","32","0.0","0.50"
"19","1007.0","28.0","86","0.1","0","1.8","120","0.0","0.00"
"20","1007.7","27.0","92","0.0","0","1.9","278","0.0","0.00"
"21","1007.8","26.3","96","0.0","0","0.0","0","0.0","0.00"
"22","1007.8","25.7","97","0.0","0","0.0","0","0.0","0.00"
"23","1007.4","25.2","98","0.0","0","0.0","0","0.0","0.00"
"24","1007.0","25.1","99","0.0","0","0.0","0","0.0","0.00"
