"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","999.8","24.3","100","0.0","0","0.9","193","0.0","0.00"
"02","999.8","24.1","100","0.0","0","0.4","194","0.0","0.00"
"03","999.8","23.9","100","0.0","0","0.4","194","0.0","0.00"
"04","1000.0","23.6","100","0.0","0","0.0","0","0.0","0.00"
"05","1000.7","23.7","100","0.0","0","0.2","0","0.0","0.00"
"06","1000.6","23.6","100","0.0","0","0.1","0","0.0","0.00"
"07","1001.2","25.7","96","0.7","224","2.3","209","0.0","0.30"
"08","1001.4","29.6","76","0.4","222","2.1","215","0.0","1.10"
"09","1001.7","31.4","72","0.2","0","2.4","221","0.0","1.80"
"10","1002.5","32.7","61","1.1","80","3.2","85","0.0","2.60"
"11","1002.4","32.9","63","1.1","73","3.9","54","0.0","2.40"
"12","1000.8","34.4","63","0.8","80","3.2","116","0.0","3.50"
"13","1001.0","32.2","73","0.8","54","4.8","29","0.0","2.40"
"14","1000.6","32.5","74","1.2","61","4.6","73","0.0","1.90"
"15","1001.0","32.8","70","1.4","71","4.5","95","0.0","2.20"
"16","1001.3","30.9","81","1.0","67","4.6","99","0.0","0.90"
"17","1001.8","29.7","84","1.0","68","3.4","82","0.0","0.40"
"18","1002.8","27.6","95","0.2","0","5.8","91","0.0","0.00"
"19","1003.2","27.3","98","0.1","0","1.5","92","1.0","0.00"
"20","1003.9","27.0","99","0.0","0","1.0","64","0.5","0.00"
"21","1004.0","26.7","100","0.0","0","0.8","82","0.0","0.00"
"22","1003.9","26.6","100","0.0","0","0.3","160","0.0","0.00"
"23","1003.4","26.6","100","0.0","0","0.5","171","0.0","0.00"
"24","1002.9","26.6","100","0.0","0","0.1","0","0.0","0.00"
