"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.6","253","0.0","0.00"
"02","0.6","253","0.0","0.00"
"03","0.9","246","0.0","0.00"
"04","1.4","247","0.0","0.00"
"05","1.5","265","0.0","0.00"
"06","1.4","223","0.0","0.00"
"07","1.8","218","0.0","0.00"
"08","2.4","216","0.0","0.60"
"09","4.4","201","0.0","1.70"
"10","4.3","240","0.0","2.40"
"11","3.8","275","0.0","1.90"
"12","2.6","266","0.0","1.30"
"13","2.5","341","0.0","1.20"
"14","3.7","15","0.0","2.30"
"15","3.4","32","0.0","2.30"
"16","3.0","358","0.0","1.40"
"17","2.4","5","0.0","0.40"
"18","1.9","100","0.0","0.10"
"19","0.9","59","0.0","0.00"
"20","2.0","302","0.0","0.00"
"21","1.7","252","0.0","0.00"
"22","0.9","222","0.0","0.00"
"23","1.3","260","0.0","0.00"
"24","1.9","251","0.0","0.00"
