"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1004.5","25.8","99","0.0","0","1.4","130","0.0","0.00"
"02","1004.3","25.5","100","0.0","0","0.5","167","0.0","0.00"
"03","1004.5","25.2","100","0.0","0","0.0","0","0.0","0.00"
"04","1004.6","25.0","100","0.0","0","0.0","0","0.0","0.00"
"05","1004.7","24.8","100","0.0","0","0.0","0","0.0","0.00"
"06","1004.9","25.1","100","0.0","0","1.0","149","0.0","0.00"
"07","1004.8","26.8","95","0.8","209","2.3","202","0.0","0.40"
"08","1004.5","30.7","76","0.6","222","3.1","205","0.0","1.40"
"09","1004.2","32.8","67","1.0","241","4.1","202","0.0","2.20"
"10","1003.6","34.4","62","0.8","250","3.9","197","0.0","2.90"
"11","1003.2","34.5","66","0.8","148","3.6","265","0.0","3.40"
"12","1002.4","35.3","67","0.6","180","3.2","233","0.0","3.60"
"13","1002.1","35.1","67","0.7","199","3.4","122","0.0","3.60"
"14","1001.9","35.5","65","0.8","122","3.6","79","0.0","3.30"
"15","1001.5","33.1","72","0.4","138","2.9","68","0.0","1.90"
"16","1001.5","32.0","74","0.3","133","2.1","88","0.0","0.70"
"17","1001.8","31.1","78","0.3","88","1.8","117","0.0","0.40"
"18","1002.5","30.0","82","0.0","0","1.8","150","0.0","0.10"
"19","1002.9","29.0","90","0.1","0","1.3","36","0.0","0.00"
"20","1003.5","28.2","94","0.0","0","1.3","311","0.0","0.00"
"21","1003.5","28.3","96","0.0","0","1.1","319","0.0","0.00"
"22","1003.3","28.0","96","0.0","0","0.7","26","0.0","0.00"
"23","1003.1","27.5","97","0.0","0","0.5","57","0.0","0.00"
"24","1002.7","27.2","97","0.0","0","0.9","269","0.0","0.00"
