"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.3","261","0.0","0.00"
"02","0.7","212","0.0","0.00"
"03","1.1","264","0.0","0.00"
"04","1.5","191","0.0","0.00"
"05","0.8","234","0.0","0.00"
"06","1.3","207","0.0","0.00"
"07","2.0","239","0.0","0.00"
"08","2.1","263","0.0","0.20"
"09","3.9","200","0.0","1.10"
"10","3.2","209","0.0","1.00"
"11","3.0","205","0.0","1.70"
"12","2.9","195","0.0","2.40"
"13","3.5","227","0.0","2.80"
"14","4.7","145","0.0","2.10"
"15","4.6","138","0.0","0.60"
"16","2.6","273","0.0","0.30"
"17","2.6","253","0.0","0.20"
"18","1.2","67","0.0","0.00"
"19","0.0","0","0.0","0.00"
"20","0.8","299","0.0","0.00"
"21","1.2","223","0.0","0.00"
"22","1.0","239","0.0","0.00"
"23","1.3","261","0.0","0.00"
"24","1.2","257","0.0","0.00"
