"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1006.1","23.3","98","0.0","0","1.0","198","0.0","0.00"
"02","1005.8","22.9","99","0.0","0","0.7","198","0.0","0.00"
"03","1005.7","23.2","100","0.0","0","0.8","198","0.0","0.00"
"04","1005.7","23.1","100","0.0","0","1.0","202","0.0","0.00"
"05","1006.5","23.2","100","0.1","0","1.2","205","0.0","0.00"
"06","1006.9","23.2","100","0.0","0","1.0","206","0.0","0.00"
"07","1007.0","24.6","97","0.4","231","1.9","206","0.0","0.40"
"08","1007.4","28.4","77","0.4","231","2.1","188","0.0","1.50"
"09","1007.5","30.9","70","0.5","34","1.9","201","0.0","2.20"
"10","1007.8","30.9","71","0.9","74","3.5","83","0.0","2.70"
"11","1007.9","31.4","70","1.0","58","4.1","107","0.0","3.30"
"12","1007.5","31.4","73","1.5","73","5.0","37","0.0","3.50"
"13","1007.1","30.6","76","1.1","65","4.8","92","0.0","3.00"
"14","1006.7","30.8","73","1.6","82","4.7","56","0.0","2.70"
"15","1006.3","30.3","74","1.4","71","4.5","31","0.0","1.90"
"16","1006.3","28.6","84","1.2","59","4.1","66","0.0","1.00"
"17","1006.7","28.1","87","1.3","64","4.5","60","0.0","0.30"
"18","1007.5","27.4","90","1.4","50","5.1","76","0.0","0.10"
"19","1008.3","26.5","93","0.5","16","4.0","61","0.0","0.00"
"20","1009.0","26.3","93","0.5","51","2.4","26","0.0","0.00"
"21","1009.8","26.2","94","0.0","0","1.8","53","0.0","0.00"
"22","1010.4","26.1","96","0.0","0","0.6","44","0.0","0.00"
"23","1010.5","25.6","95","0.1","0","2.4","84","0.0","0.00"
"24","1010.2","25.5","94","0.0","0","1.8","60","0.0","0.00"
