"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.0","0","0.0","0.00"
"02","0.8","153","0.0","0.00"
"03","0.9","208","0.0","0.00"
"04","1.1","209","0.0","0.00"
"05","1.2","209","0.0","0.00"
"06","1.2","209","0.0","0.00"
"07","1.6","214","0.0","0.10"
"08","1.7","257","0.0","0.30"
"09","1.9","262","0.0","0.60"
"10","1.8","254","0.0","1.00"
"11","1.9","77","0.0","2.00"
"12","2.8","235","0.0","1.60"
"13","3.1","74","0.0","1.10"
"14","3.8","108","0.0","0.70"
"15","2.3","8","0.0","0.20"
"16","1.6","62","0.0","0.20"
"17","1.3","14","0.0","0.20"
"18","1.1","124","0.0","0.00"
"19","1.3","256","0.0","0.00"
"20","1.6","218","0.0","0.00"
"21","1.8","230","0.0","0.00"
"22","0.9","212","0.0","0.00"
"23","1.3","218","0.0","0.00"
"24","1.3","218","0.0","0.00"
