"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1006.8","24.8","97","0.1","0","1.2","226","0.0","0.00"
"02","1006.4","24.6","98","0.4","209","1.8","204","0.0","0.00"
"03","1006.1","24.4","97","0.4","224","2.2","239","0.0","0.00"
"04","1006.0","24.3","97","0.3","224","2.3","281","0.0","0.00"
"05","1006.0","24.3","97","0.6","233","2.8","214","0.0","0.00"
"06","1006.5","24.4","97","0.6","252","1.9","269","0.0","0.00"
"07","1006.7","25.4","95","0.4","225","2.1","195","0.0","0.30"
"08","1006.8","26.2","91","0.7","227","3.1","272","0.0","0.50"
"09","1006.5","27.2","87","0.3","202","2.3","216","0.0","0.80"
"10","1006.2","29.7","78","0.7","231","2.5","184","0.0","1.60"
"11","1006.4","28.6","81","0.5","223","2.6","213","0.0","1.40"
"12","1005.9","29.1","79","0.4","183","2.3","212","0.0","1.10"
"13","1005.3","29.5","79","0.6","206","1.8","209","0.0","1.10"
"14","1004.6","29.2","83","0.1","0","1.4","199","0.0","0.70"
"15","1004.6","29.6","77","0.1","0","1.3","229","0.0","0.80"
"16","1004.2","28.9","86","0.0","0","1.0","215","0.0","0.50"
"17","1004.0","28.7","86","0.0","0","1.0","214","0.0","0.40"
"18","1004.1","27.8","88","0.0","0","0.7","243","0.0","0.20"
"19","1004.3","26.7","93","0.0","0","0.0","0","0.0","0.00"
"20","1004.5","26.1","96","0.0","0","0.0","0","0.0","0.00"
"21","1004.9","25.9","97","0.0","0","0.3","164","0.0","0.00"
"22","1004.6","25.6","97","0.0","0","1.1","319","0.0","0.00"
"23","1004.3","25.3","98","0.0","0","0.7","322","0.0","0.00"
"24","1002.9","25.1","99","0.0","0","0.7","37","0.0","0.00"
