"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1005.0","26.3","95","0.0","0","0.2","0","0.0","0.00"
"02","1004.2","26.0","95","0.0","0","0.7","239","0.0","0.00"
"03","1003.7","25.9","96","0.0","0","0.7","217","0.0","0.00"
"04","1003.4","25.5","98","0.0","0","0.0","0","0.0","0.00"
"05","1003.5","25.1","97","0.0","0","0.0","0","0.0","0.00"
"06","1004.1","25.3","97","0.0","0","0.3","214","0.0","0.00"
"07","1004.3","28.1","86","0.3","203","1.3","165","0.0","0.50"
"08","1004.6","32.5","68","0.3","139","1.7","298","0.0","1.40"
"09","1004.4","34.1","62","0.8","98","2.8","88","0.0","2.20"
"10","1004.0","34.9","58","1.0","101","3.8","79","0.0","2.80"
"11","1003.4","34.5","60","1.3","67","4.9","110","0.0","3.30"
"12","1002.4","34.9","60","1.5","63","4.7","42","0.0","3.60"
"13","1001.5","35.0","57","1.4","50","5.0","37","0.0","3.60"
"14","1001.3","35.2","55","1.4","81","5.1","102","0.0","3.30"
"15","1001.5","34.9","61","0.9","69","5.0","82","0.0","2.90"
"16","1001.0","34.2","61","1.6","79","4.9","90","0.0","2.10"
"17","1001.1","34.1","61","1.0","61","4.4","111","0.0","1.20"
"18","1000.7","31.7","66","0.7","52","4.1","42","0.0","0.50"
"19","1000.9","29.4","80","0.0","0","2.0","105","0.0","0.00"
"20","1000.9","28.4","85","0.0","0","1.5","28","0.0","0.00"
"21","1000.6","27.5","87","0.0","0","1.0","35","0.0","0.00"
"22","1000.5","26.9","89","0.0","0","0.0","0","0.0","0.00"
"23","1000.9","26.7","91","0.0","0","0.9","187","0.0","0.00"
"24","1000.5","26.6","91","0.2","0","0.7","54","0.0","0.00"
