"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.0","304","0.0","0.00"
"02","0.8","214","0.0","0.00"
"03","1.3","258","0.0","0.00"
"04","0.5","202","0.0","0.00"
"05","0.8","204","0.0","0.00"
"06","1.7","275","0.0","0.00"
"07","0.9","232","0.0","0.00"
"08","1.9","214","0.0","0.20"
"09","2.5","213","0.0","0.70"
"10","2.4","215","0.0","1.00"
"11","2.2","207","0.0","1.40"
"12","2.2","17","0.0","2.10"
"13","3.2","124","0.0","1.90"
"14","3.4","27","0.0","1.70"
"15","3.2","103","0.0","1.50"
"16","2.5","37","0.0","0.60"
"17","2.2","115","0.0","0.30"
"18","1.2","72","0.0","0.00"
"19","0.0","0","0.0","0.00"
"20","0.5","108","0.0","0.00"
"21","0.0","0","0.0","0.00"
"22","0.0","0","0.0","0.00"
"23","0.0","0","0.0","0.00"
"24","0.9","195","0.0","0.00"
