"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1010.0","22.8","100","0.0","0","0.8","348","0.0","0.00"
"02","1010.0","22.5","100","0.0","0","0.1","0","0.0","0.00"
"03","1009.6","22.4","100","0.0","0","0.5","347","0.0","0.00"
"04","1009.7","22.2","100","0.0","0","0.7","294","0.0","0.00"
"05","1010.5","21.9","100","0.0","0","1.1","229","0.0","0.00"
"06","1010.6","21.6","100","0.0","0","0.8","227","0.0","0.00"
"07","1011.5","22.2","100","0.6","214","2.6","214","0.0","0.20"
"08","1012.0","25.8","89","0.7","219","2.3","192","0.0","0.90"
"09","1011.9","29.4","67","0.9","228","3.2","219","0.0","1.80"
"10","1011.7","31.7","62","0.5","185","2.2","237","0.0","2.50"
"11","1011.1","33.0","55","0.5","193","1.8","270","0.0","2.90"
"12","1010.4","33.4","62","0.9","70","2.6","77","0.0","3.00"
"13","1010.0","33.0","65","1.0","59","3.6","38","0.0","2.90"
"14","1009.9","32.1","72","1.0","69","4.4","67","0.0","2.60"
"15","1010.1","32.1","71","1.1","48","4.5","73","0.0","2.00"
"16","1010.8","30.3","78","0.8","43","3.6","70","0.0","1.20"
"17","1011.4","27.8","88","0.2","0","3.2","47","0.0","0.10"
"18","1011.6","26.7","94","0.0","0","1.8","333","0.0","0.00"
"19","1012.3","26.5","96","0.1","0","1.2","18","0.0","0.00"
"20","1012.9","25.9","97","0.0","0","1.2","313","0.0","0.00"
"21","1013.4","25.5","96","0.6","40","2.0","49","0.0","0.00"
"22","1013.4","26.1","94","0.5","64","3.6","95","0.0","0.00"
"23","1014.1","26.1","92","0.3","46","4.3","22","0.0","0.00"
"24","1013.5","25.4","94","0.5","54","3.5","47","0.0","0.00"
