"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1003.1","25.4","99","0.1","0","1.7","227","0.0","0.00"
"02","1002.3","25.3","100","0.0","0","1.0","172","0.0","0.00"
"03","1002.2","25.0","100","0.3","237","1.7","269","0.0","0.00"
"04","1002.3","24.9","100","0.1","0","1.9","210","0.0","0.00"
"05","1002.9","24.7","100","0.0","0","1.2","206","0.0","0.00"
"06","1003.2","24.8","100","0.0","0","1.0","199","0.0","0.00"
"07","1003.4","26.2","98","0.3","237","2.0","221","0.0","0.50"
"08","1003.5","30.1","79","0.6","228","2.7","196","0.5","1.80"
"09","1003.8","32.1","73","0.5","164","2.4","213","0.0","2.20"
"10","1003.8","32.6","68","0.4","200","2.5","205","0.0","2.60"
"11","1003.5","33.8","69","0.6","105","2.5","84","0.0","3.30"
"12","1002.9","34.4","67","0.6","138","2.5","152","0.0","3.60"
"13","1002.3","34.4","67","0.7","153","4.5","80","0.0","3.50"
"14","1001.9","33.8","69","0.9","161","4.9","215","0.0","3.20"
"15","1001.7","32.6","72","0.8","180","4.1","144","0.0","2.30"
"16","1001.5","30.9","78","0.6","182","4.5","148","0.0","0.80"
"17","1002.1","29.3","88","0.3","220","4.1","218","0.0","0.40"
"18","1002.9","28.4","92","0.6","216","3.1","212","0.0","0.10"
"19","1003.7","26.6","97","0.1","0","3.3","222","5.0","0.00"
"20","1004.5","26.6","98","0.0","0","1.2","260","1.0","0.00"
"21","1004.3","25.8","99","0.6","231","2.0","220","1.0","0.00"
"22","1004.5","26.1","99","0.2","0","2.0","283","0.0","0.00"
"23","1004.1","25.9","100","0.2","0","2.6","244","0.0","0.00"
"24","1003.6","25.7","100","0.0","0","1.6","201","0.0","0.00"
