"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1014.8","21.7","98","0.0","0","1.6","263","0.0","0.00"
"02","1014.2","21.0","100","0.4","263","1.0","263","0.0","0.00"
"03","1014.1","20.8","100","0.0","0","0.7","263","0.0","0.00"
"04","1013.8","21.2","100","0.2","0","1.5","263","0.0","0.00"
"05","1013.4","20.8","100","0.1","0","1.0","263","0.0","0.00"
"06","1013.7","20.3","100","0.0","0","1.2","263","0.0","0.00"
"07","1014.4","20.8","100","0.3","263","1.4","263","0.0","0.10"
"08","1014.9","24.0","88","0.3","259","2.0","263","0.0","0.70"
"09","1015.2","27.6","73","0.2","0","2.2","258","0.0","1.60"
"10","1014.7","29.2","67","0.7","85","2.1","66","0.0","2.20"
"11","1014.1","29.5","66","1.5","61","4.1","101","0.0","2.60"
"12","1013.5","28.9","70","1.6","77","4.6","83","0.0","2.40"
"13","1012.4","28.1","75","1.8","60","5.8","105","0.0","2.10"
"14","1012.1","27.9","78","1.9","55","5.9","87","0.0","1.50"
"15","1012.4","25.7","86","1.7","60","6.0","29","0.0","0.80"
"16","1012.8","25.1","87","1.4","21","5.5","39","0.0","0.20"
"17","1013.3","23.5","93","0.7","18","5.5","27","0.0","0.00"
"18","1013.8","22.7","98","0.1","0","3.6","346","1.0","0.00"
"19","1014.3","22.3","98","0.0","0","2.2","1","0.5","0.00"
"20","1015.0","22.3","94","0.3","360","2.9","14","0.0","0.00"
"21","1015.5","22.7","86","0.6","40","4.2","70","0.0","0.00"
"22","1015.5","22.1","92","0.0","0","3.1","325","0.0","0.00"
"23","1015.4","21.7","96","0.0","0","0.9","354","0.0","0.00"
"24","1014.5","21.8","96","0.0","0","1.2","306","0.0","0.00"
