"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.8","360","0.0","0.00"
"02","0.8","360","0.0","0.00"
"03","0.3","360","0.0","0.00"
"04","0.1","0","0.0","0.00"
"05","0.0","0","0.0","0.00"
"06","0.0","0","0.0","0.00"
"07","0.0","0","0.0","0.00"
"08","2.5","65","0.5","0.00"
"09","2.3","84","1.0","0.10"
"10","3.5","38","2.0","0.10"
"11","3.5","74","0.5","0.30"
"12","3.4","101","0.0","0.40"
"13","3.3","95","0.0","0.40"
"14","3.8","105","0.0","0.30"
"15","2.5","92","0.0","0.20"
"16","1.7","280","0.0","0.20"
"17","3.7","83","0.0","0.00"
"18","2.6","76","0.0","0.00"
"19","1.5","301","0.0","0.00"
"20","1.6","222","0.0","0.00"
"21","1.4","326","0.0","0.00"
"22","1.4","261","0.0","0.00"
"23","1.7","309","0.0","0.00"
"24","1.6","273","0.0","0.00"
