"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","2.1","8","0.0","0.00"
"02","1.9","91","0.0","0.00"
"03","1.2","206","0.0","0.00"
"04","1.1","222","0.0","0.00"
"05","1.0","206","0.0","0.00"
"06","1.0","196","0.0","0.00"
"07","1.0","257","0.0","0.00"
"08","1.0","196","0.0","0.10"
"09","1.0","284","0.0","0.30"
"10","1.1","193","0.0","0.50"
"11","1.2","194","0.0","0.90"
"12","2.5","117","0.0","1.80"
"13","2.9","116","0.0","1.10"
"14","2.5","270","0.0","0.70"
"15","1.4","339","0.0","0.20"
"16","1.0","349","0.0","0.10"
"17","0.8","290","0.0","0.00"
"18","0.5","291","0.0","0.00"
"19","0.3","22","0.0","0.00"
"20","0.4","22","0.0","0.00"
"21","0.4","219","0.0","0.00"
"22","0.0","0","0.0","0.00"
"23","0.3","219","0.0","0.00"
"24","0.9","257","0.0","0.00"
