"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1012.4","22.9","100","0.0","0","1.3","56","0.0","0.00"
"02","1011.8","22.9","100","0.0","0","0.3","55","0.0","0.00"
"03","1011.3","22.9","100","0.0","0","0.0","0","0.0","0.00"
"04","1011.0","22.9","100","0.0","0","0.2","0","0.0","0.00"
"05","1010.9","22.7","100","0.0","0","0.8","56","0.0","0.00"
"06","1011.6","22.9","100","0.2","0","1.1","55","0.0","0.00"
"07","1012.5","23.1","100","0.0","0","1.2","58","0.0","0.00"
"08","1013.2","24.3","98","0.0","0","0.6","38","0.0","0.30"
"09","1013.2","25.8","85","0.1","0","1.5","29","0.0","0.80"
"10","1013.3","26.8","82","0.7","63","2.2","99","0.0","1.00"
"11","1012.5","26.6","79","1.9","59","5.4","47","0.0","1.10"
"12","1011.8","26.9","78","1.4","51","5.4","21","0.0","1.00"
"13","1010.9","26.5","82","1.5","64","4.9","68","0.0","0.80"
"14","1010.2","26.9","80","1.8","57","5.9","65","0.0","0.80"
"15","1010.3","26.6","80","0.8","47","4.0","87","0.0","0.70"
"16","1010.5","26.0","78","1.1","39","3.8","66","0.0","0.40"
"17","1011.0","24.9","86","0.1","0","2.8","8","0.0","0.10"
"18","1011.3","23.9","95","0.0","0","1.8","58","0.0","0.00"
"19","1011.6","23.7","97","0.0","0","0.0","0","0.0","0.00"
"20","1012.6","23.8","97","0.0","0","1.3","69","0.0","0.00"
"21","1011.3","23.1","100","0.2","0","1.5","22","1.0","0.00"
"22","1011.2","22.7","100","0.4","244","2.2","210","0.0","0.00"
"23","1011.3","22.6","100","0.0","0","1.0","244","0.0","0.00"
"24","1011.4","22.6","100","0.2","0","0.8","244","0.0","0.00"
