"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1005.0","24.6","100","0.0","0","0.7","219","0.0","0.00"
"02","1003.8","24.3","100","0.0","0","0.7","217","0.0","0.00"
"03","1003.7","24.0","100","0.0","0","0.9","201","0.0","0.00"
"04","1004.0","23.9","100","0.0","0","1.2","224","0.0","0.00"
"05","1004.2","23.7","100","0.0","0","1.6","249","0.0","0.00"
"06","1004.0","23.7","100","0.0","0","0.8","219","0.0","0.00"
"07","1004.2","25.6","98","0.3","209","2.2","199","0.0","0.40"
"08","1004.7","29.2","82","0.0","0","1.8","230","0.0","1.20"
"09","1004.8","31.1","69","0.0","0","2.8","209","0.0","2.10"
"10","1004.8","32.5","69","0.9","63","2.8","16","0.0","2.70"
"11","1004.2","32.5","68","1.4","55","4.1","126","0.0","3.30"
"12","1003.8","32.9","66","1.4","86","4.6","127","0.0","3.50"
"13","1003.4","33.0","66","1.4","73","4.4","112","0.0","3.40"
"14","1003.0","33.1","66","1.3","70","4.8","88","0.0","3.20"
"15","1002.6","33.3","62","1.1","65","4.5","115","0.0","2.60"
"16","1002.4","31.4","68","1.0","69","5.1","83","0.0","1.50"
"17","1002.4","32.1","64","0.6","34","3.4","69","0.0","0.90"
"18","1003.2","27.5","86","0.0","0","3.0","63","0.0","0.00"
"19","1002.8","26.2","92","0.0","0","0.1","0","0.0","0.00"
"20","1003.6","25.7","95","0.0","0","0.0","0","0.0","0.00"
"21","1003.9","25.4","96","0.0","0","0.2","0","0.0","0.00"
"22","1004.0","25.6","94","0.1","0","1.4","232","0.0","0.00"
"23","1003.5","25.7","92","0.5","261","1.7","259","0.0","0.00"
"24","1002.7","25.7","90","0.2","0","1.7","259","0.0","0.00"
