"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","996.1","25.4","99","0.0","0","0.6","21","0.0","0.00"
"02","995.8","25.3","100","0.0","0","0.4","28","0.0","0.00"
"03","995.6","25.2","100","0.0","0","0.4","16","0.0","0.00"
"04","995.6","24.8","100","0.0","0","0.0","0","0.0","0.00"
"05","995.3","24.3","100","0.0","0","0.7","30","0.0","0.00"
"06","996.5","24.6","100","0.1","0","0.8","360","0.0","0.00"
"07","998.1","25.6","100","0.0","0","1.7","201","0.0","0.30"
"08","999.1","25.7","99","0.0","0","1.1","291","0.0","0.10"
"09","999.3","25.7","100","0.0","0","0.7","280","0.5","0.00"
"10","1000.0","25.2","100","0.7","73","2.9","67","2.5","0.00"
"11","1000.9","24.0","100","0.5","60","3.0","59","2.0","0.00"
"12","1000.7","23.5","100","0.4","27","3.5","93","2.0","0.10"
"13","999.7","24.1","98","0.6","41","2.9","33","0.0","0.50"
"14","999.9","24.1","94","1.2","55","4.4","64","0.0","0.40"
"15","1001.0","23.5","93","1.4","62","6.0","59","0.0","0.30"
"16","1001.1","22.9","96","1.0","49","6.0","350","0.0","0.30"
"17","1001.1","22.6","96","1.1","61","5.4","325","0.0","0.10"
"18","1001.8","23.0","92","1.0","63","4.0","352","0.5","0.00"
"19","1002.6","22.7","94","0.3","321","3.6","350","0.0","0.00"
"20","1003.6","22.4","97","0.0","0","2.7","245","0.0","0.00"
"21","1004.0","22.3","98","0.0","0","0.7","240","0.0","0.00"
"22","1004.4","22.3","99","0.1","0","0.9","240","0.0","0.00"
"23","1004.2","21.8","98","0.2","0","1.8","98","0.0","0.00"
"24","1004.3","21.7","97","0.0","0","2.0","7","0.0","0.00"
