"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.0","203","0.0","0.00"
"02","1.2","209","0.0","0.00"
"03","0.6","212","0.0","0.00"
"04","0.0","0","0.0","0.00"
"05","0.6","197","0.0","0.00"
"06","0.7","198","0.0","0.00"
"07","1.3","204","0.0","0.00"
"08","1.5","214","0.0","0.20"
"09","2.3","203","0.0","0.60"
"10","2.3","200","0.0","1.30"
"11","1.6","264","0.0","1.60"
"12","2.6","316","0.0","2.50"
"13","2.0","175","0.0","1.10"
"14","3.1","21","0.0","0.90"
"15","2.2","122","0.0","0.30"
"16","0.4","15","0.0","0.10"
"17","1.3","324","0.0","0.00"
"18","1.3","212","0.0","0.00"
"19","2.1","271","0.0","0.00"
"20","0.5","210","0.0","0.00"
"21","0.7","210","0.0","0.00"
"22","0.3","246","0.0","0.00"
"23","1.0","265","0.0","0.00"
"24","1.1","205","0.0","0.00"
