"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.0","0","0.0","0.00"
"02","0.6","27","0.0","0.00"
"03","1.9","38","0.5","0.00"
"04","2.8","29","0.5","0.00"
"05","2.6","22","0.0","0.00"
"06","2.6","355","0.0","0.00"
"07","2.5","43","0.5","0.00"
"08","2.6","31","0.0","0.00"
"09","2.8","32","0.0","0.10"
"10","2.7","101","0.0","0.20"
"11","4.3","69","0.0","0.40"
"12","3.8","18","0.5","0.70"
"13","3.3","70","0.0","0.70"
"14","2.9","334","0.0","0.50"
"15","2.7","59","0.0","0.20"
"16","2.4","89","0.0","0.20"
"17","2.9","325","0.0","0.10"
"18","2.1","7","0.0","0.00"
"19","2.2","4","0.0","0.00"
"20","1.5","60","0.0","0.00"
"21","1.3","32","0.0","0.00"
"22","3.1","16","0.5","0.00"
"23","2.0","6","0.0","0.00"
"24","2.0","6","0.0","0.00"
