"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1006.1","22.9","100","0.2","0","3.8","233","0.5","0.00"
"02","1005.0","22.8","100","0.3","222","2.2","218","0.0","0.00"
"03","1005.2","22.8","100","0.8","258","2.9","228","0.5","0.00"
"04","1004.8","22.6","100","0.3","225","2.5","250","0.5","0.00"
"05","1005.1","22.5","100","0.3","238","1.8","247","0.0","0.00"
"06","1005.4","22.5","100","0.4","238","2.2","256","0.0","0.00"
"07","1006.0","22.5","100","1.1","237","2.7","230","0.5","0.00"
"08","1006.6","22.6","100","0.8","236","3.5","252","0.0","0.00"
"09","1006.5","23.0","100","1.0","244","3.3","242","0.0","0.10"
"10","1006.9","23.5","99","0.5","257","3.4","217","0.0","0.30"
"11","1006.7","24.6","95","0.8","236","3.0","247","0.0","0.50"
"12","1005.7","28.5","79","1.0","229","2.5","200","0.0","1.90"
"13","1004.8","30.0","67","0.0","0","2.3","234","0.0","2.50"
"14","1004.5","29.2","76","0.6","31","2.6","33","0.0","1.90"
"15","1004.8","27.9","84","1.0","10","3.4","13","0.0","0.80"
"16","1005.0","27.1","86","0.7","52","3.8","66","0.0","0.70"
"17","1004.7","25.5","94","0.0","0","1.6","351","0.0","0.10"
"18","1006.4","24.1","98","0.0","0","0.4","360","0.0","0.00"
"19","1007.4","23.4","99","0.0","0","0.3","4","0.0","0.00"
"20","1007.7","23.8","100","0.0","0","0.0","0","0.0","0.00"
"21","1008.3","23.9","100","0.0","0","1.6","6","0.0","0.00"
"22","1008.3","24.2","100","0.1","0","1.6","7","0.0","0.00"
"23","1007.7","23.7","100","0.0","0","0.4","7","0.0","0.00"
"24","1007.6","23.6","100","0.0","0","0.0","0","0.0","0.00"
