"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","3.7","48","0.0","0.00"
"02","4.8","53","0.0","0.00"
"03","4.8","9","0.0","0.00"
"04","3.9","18","0.0","0.00"
"05","3.3","62","0.0","0.00"
"06","3.2","12","0.0","0.00"
"07","1.6","342","0.0","0.00"
"08","2.2","244","0.0","0.00"
"09","2.7","294","0.0","0.10"
"10","1.8","116","0.0","0.20"
"11","4.1","43","0.0","0.20"
"12","2.9","53","0.0","0.20"
"13","3.9","82","0.0","0.40"
"14","4.7","324","0.0","0.10"
"15","2.5","301","0.0","0.10"
"16","3.2","302","0.0","0.00"
"17","2.3","296","0.0","0.00"
"18","1.8","290","0.0","0.00"
"19","1.0","201","0.0","0.00"
"20","0.6","191","0.0","0.00"
"21","0.9","214","0.0","0.00"
"22","0.8","105","0.0","0.00"
"23","1.2","218","0.0","0.00"
"24","0.7","217","0.0","0.00"
