"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1006.6","24.7","89","1.1","33","5.9","3","0.0","0.00"
"02","1006.4","24.6","89","0.8","45","5.4","25","0.0","0.00"
"03","1006.1","24.4","88","0.6","26","5.0","13","0.0","0.00"
"04","1006.1","24.4","87","1.0","39","3.8","37","0.0","0.00"
"05","1006.0","23.9","92","0.1","0","2.7","30","0.0","0.00"
"06","1006.7","23.6","93","0.1","0","2.0","65","0.0","0.00"
"07","1007.2","24.6","89","0.8","53","3.5","67","0.0","0.10"
"08","1007.8","26.2","85","1.0","45","3.9","79","0.0","0.50"
"09","1008.0","26.3","82","1.2","59","5.2","64","0.0","1.00"
"10","1008.5","28.0","76","1.8","65","5.6","59","0.0","1.60"
"11","1007.9","28.7","71","1.8","53","9.1","81","0.0","2.40"
"12","1007.1","28.8","72","1.8","65","7.0","105","0.0","2.50"
"13","1006.1","27.5","76","1.6","59","6.9","46","0.0","1.60"
"14","1005.2","26.3","78","2.4","62","7.1","53","0.0","1.40"
"15","1005.0","25.6","78","1.6","58","5.0","68","0.0","0.50"
"16","1006.1","25.0","79","1.9","56","8.8","45","0.0","0.20"
"17","1006.7","24.7","81","1.4","54","6.7","37","0.0","0.00"
"18","1007.1","24.5","81","1.2","57","7.7","11","0.0","0.00"
"19","1007.9","24.4","81","0.7","64","5.8","57","0.0","0.00"
"20","1008.4","23.9","86","0.7","59","4.9","92","0.0","0.00"
"21","1008.0","23.0","95","0.0","0","3.0","346","0.0","0.00"
"22","1007.6","23.2","92","0.8","57","3.1","59","0.0","0.00"
"23","1006.5","23.5","87","0.5","46","2.9","59","0.0","0.00"
"24","1007.3","24.0","81","1.6","56","5.4","74","0.0","0.00"
