"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.0","0","0.5","0.00"
"02","0.0","0","0.0","0.00"
"03","0.4","265","0.5","0.00"
"04","0.0","0","0.5","0.00"
"05","0.0","0","2.0","0.00"
"06","0.9","250","1.5","0.00"
"07","0.7","251","1.0","0.00"
"08","0.4","251","1.0","0.10"
"09","0.7","249","0.0","0.20"
"10","0.9","264","0.0","0.40"
"11","3.7","108","0.0","0.60"
"12","5.1","27","0.0","1.50"
"13","5.6","9","0.0","1.30"
"14","4.9","53","0.0","0.60"
"15","4.2","74","0.0","0.40"
"16","5.1","24","0.0","0.10"
"17","3.3","19","0.0","0.00"
"18","3.0","2","0.0","0.00"
"19","2.8","30","0.0","0.00"
"20","2.4","13","0.0","0.00"
"21","1.4","329","0.0","0.00"
"22","0.4","287","0.0","0.00"
"23","0.6","287","0.0","0.00"
"24","0.7","354","0.0","0.00"
