"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.2","0","0.0","0.00"
"02","0.0","0","0.0","0.00"
"03","0.6","128","0.0","0.00"
"04","1.2","39","0.0","0.00"
"05","1.8","294","0.0","0.00"
"06","1.7","210","0.0","0.00"
"07","1.7","206","0.0","0.00"
"08","1.6","103","0.0","0.00"
"09","2.2","310","0.0","0.00"
"10","3.7","21","0.0","0.10"
"11","3.6","31","0.0","0.20"
"12","4.8","90","0.0","0.30"
"13","4.6","101","0.0","0.40"
"14","4.8","68","0.0","0.30"
"15","4.1","70","0.0","0.20"
"16","2.4","20","0.0","0.10"
"17","1.3","300","0.0","0.00"
"18","1.0","68","0.0","0.00"
"19","1.2","10","0.0","0.00"
"20","1.1","78","0.0","0.00"
"21","1.6","130","0.0","0.00"
"22","1.0","352","0.0","0.00"
"23","1.0","323","0.0","0.00"
"24","0.5","209","0.0","0.00"
