"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.1","0","0.0","0.00"
"02","0.0","0","0.0","0.00"
"03","1.6","215","0.0","0.00"
"04","0.8","208","0.0","0.00"
"05","1.0","207","0.0","0.00"
"06","0.8","208","0.0","0.00"
"07","1.1","211","0.0","0.00"
"08","1.7","210","0.0","0.10"
"09","2.2","214","0.0","0.80"
"10","2.6","211","0.0","1.80"
"11","1.9","244","0.0","2.20"
"12","4.1","41","0.0","2.50"
"13","4.0","121","0.0","2.50"
"14","3.7","93","0.0","1.70"
"15","3.2","37","0.0","0.90"
"16","4.5","24","0.0","0.50"
"17","2.3","111","0.0","0.00"
"18","3.3","19","0.0","0.00"
"19","1.1","328","0.0","0.00"
"20","0.6","204","0.0","0.00"
"21","0.4","277","0.0","0.00"
"22","0.6","202","0.0","0.00"
"23","0.8","209","0.0","0.00"
"24","0.8","209","0.0","0.00"
