"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.4","238","0.0","0.00"
"02","2.2","226","0.0","0.00"
"03","3.2","241","0.0","0.00"
"04","3.0","254","0.0","0.00"
"05","2.9","284","0.0","0.00"
"06","2.4","241","0.0","0.00"
"07","2.2","240","0.0","0.00"
"08","2.9","272","0.0","0.30"
"09","1.9","238","0.0","0.60"
"10","4.8","69","0.0","1.20"
"11","5.8","80","0.0","1.60"
"12","4.8","76","0.0","0.50"
"13","4.0","48","0.0","0.40"
"14","3.6","83","0.0","0.40"
"15","3.7","33","0.0","0.20"
"16","2.2","6","0.0","0.00"
"17","2.5","65","0.0","0.00"
"18","2.6","359","0.0","0.00"
"19","2.6","348","0.0","0.00"
"20","1.0","263","0.0","0.00"
"21","0.9","28","0.0","0.00"
"22","0.3","115","0.0","0.00"
"23","0.8","228","0.0","0.00"
"24","0.4","228","0.0","0.00"
