"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1009.6","23.3","100","0.0","0","0.3","190","0.0","0.00"
"02","1009.0","23.3","100","0.0","0","1.7","235","0.0","0.00"
"03","1008.3","23.2","100","0.0","0","0.7","227","0.0","0.00"
"04","1008.3","22.9","100","0.0","0","0.4","193","0.0","0.00"
"05","1008.9","23.0","100","0.3","245","1.6","222","0.0","0.00"
"06","1009.5","23.0","100","0.0","0","0.9","207","0.0","0.00"
"07","1009.8","23.5","100","0.0","0","1.1","205","0.0","0.10"
"08","1010.4","24.2","100","0.1","0","1.6","229","0.0","0.30"
"09","1010.4","25.8","95","0.5","240","1.9","247","0.0","0.60"
"10","1010.1","27.4","85","0.6","213","1.9","201","0.0","1.10"
"11","1009.9","28.7","79","0.3","147","1.2","199","0.0","1.10"
"12","1009.3","30.5","74","0.6","64","1.8","73","0.0","2.10"
"13","1009.0","30.2","76","0.8","54","2.9","25","0.0","2.10"
"14","1008.5","31.3","70","0.7","31","2.4","35","0.0","2.00"
"15","1008.7","31.3","71","1.0","55","2.8","40","0.0","1.80"
"16","1009.0","30.4","75","0.7","54","3.2","95","0.0","1.00"
"17","1009.3","27.1","88","0.3","42","2.5","101","0.0","0.40"
"18","1009.7","25.6","96","0.0","0","0.6","42","0.0","0.00"
"19","1009.9","24.9","98","0.0","0","0.0","0","0.0","0.00"
"20","1010.4","24.6","99","0.0","0","0.0","0","0.0","0.00"
"21","1010.8","24.2","100","0.0","0","0.4","43","0.0","0.00"
"22","1011.1","24.2","100","0.0","0","0.1","0","0.0","0.00"
"23","1011.2","23.9","100","0.0","0","1.6","230","0.0","0.00"
"24","1010.7","23.8","100","0.0","0","1.6","259","0.0","0.00"
