"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.3","276","0.0","0.00"
"02","0.8","224","0.0","0.00"
"03","1.2","208","0.0","0.00"
"04","2.9","255","0.0","0.00"
"05","2.6","254","0.0","0.00"
"06","3.0","184","0.0","0.00"
"07","2.2","259","0.0","0.00"
"08","3.4","203","0.0","0.20"
"09","2.7","206","0.0","0.80"
"10","2.6","208","0.0","1.30"
"11","2.5","129","0.0","2.00"
"12","3.5","128","0.0","1.80"
"13","5.2","179","0.0","2.30"
"14","5.9","194","0.0","1.10"
"15","3.6","231","0.0","0.40"
"16","1.7","287","0.0","0.20"
"17","0.7","57","0.0","0.10"
"18","1.1","92","0.0","0.00"
"19","1.0","25","0.0","0.00"
"20","0.8","14","0.0","0.00"
"21","0.6","14","0.0","0.00"
"22","0.2","0","0.0","0.00"
"23","0.5","6","0.0","0.00"
"24","0.8","259","0.0","0.00"
