"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.2","271","0.0","0.00"
"02","0.9","231","0.0","0.00"
"03","2.1","223","0.0","0.00"
"04","0.5","211","0.0","0.00"
"05","1.0","216","0.0","0.00"
"06","1.5","199","0.0","0.00"
"07","1.7","246","0.0","0.00"
"08","2.3","212","0.0","0.30"
"09","2.9","229","0.0","1.00"
"10","3.8","218","0.0","2.00"
"11","3.9","242","0.0","2.40"
"12","5.1","130","0.0","3.00"
"13","5.1","141","0.0","3.10"
"14","6.6","144","0.0","2.90"
"15","5.3","165","0.0","1.90"
"16","5.1","138","0.0","0.80"
"17","4.1","157","0.0","0.20"
"18","3.6","225","0.0","0.00"
"19","3.7","140","0.0","0.00"
"20","2.0","163","0.0","0.00"
"21","1.6","199","0.0","0.00"
"22","0.3","227","0.0","0.00"
"23","0.0","0","0.0","0.00"
"24","1.0","218","0.0","0.00"
