"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","2.4","228","0.0","0.00"
"02","2.1","257","0.0","0.00"
"03","1.8","268","0.0","0.00"
"04","2.1","215","0.0","0.00"
"05","2.0","230","0.0","0.00"
"06","1.8","222","0.0","0.00"
"07","2.3","226","0.0","0.00"
"08","2.0","226","0.0","0.10"
"09","5.3","75","0.0","0.10"
"10","4.1","22","0.0","0.10"
"11","4.9","47","0.0","0.10"
"12","4.3","355","0.0","0.20"
"13","4.6","84","0.0","0.30"
"14","3.5","30","0.0","0.20"
"15","2.3","346","0.0","0.20"
"16","1.4","9","0.5","0.20"
"17","1.6","42","0.0","0.10"
"18","1.8","44","0.0","0.00"
"19","2.5","15","0.5","0.00"
"20","1.0","22","1.0","0.00"
"21","0.8","5","0.5","0.00"
"22","0.4","4","0.0","0.00"
"23","0.7","3","1.0","0.00"
"24","0.9","3","0.0","0.00"
