"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.2","215","0.0","0.00"
"02","1.6","215","0.0","0.00"
"03","1.7","233","0.0","0.00"
"04","1.4","235","0.0","0.00"
"05","0.7","222","0.0","0.00"
"06","1.8","224","0.0","0.00"
"07","1.6","233","0.0","0.10"
"08","3.7","217","0.0","0.80"
"09","4.0","226","0.0","1.50"
"10","2.9","179","0.0","2.10"
"11","2.5","245","0.0","2.70"
"12","6.5","133","0.0","2.90"
"13","4.3","163","0.0","3.10"
"14","3.8","130","0.0","2.00"
"15","3.0","152","0.0","1.10"
"16","3.6","169","0.0","0.50"
"17","3.5","137","0.0","0.10"
"18","1.8","128","0.0","0.00"
"19","1.0","58","0.0","0.00"
"20","0.9","15","0.0","0.00"
"21","0.0","0","0.0","0.00"
"22","0.0","0","0.0","0.00"
"23","0.2","0","0.0","0.00"
"24","1.1","300","0.0","0.00"
