"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.0","0","0.0","0.00"
"02","0.0","0","0.0","0.00"
"03","0.0","0","0.0","0.00"
"04","0.0","0","0.0","0.00"
"05","0.4","30","0.0","0.00"
"06","1.3","231","0.0","0.00"
"07","2.4","236","0.0","0.00"
"08","1.8","264","0.0","0.40"
"09","2.7","198","0.0","1.30"
"10","2.4","196","0.0","2.10"
"11","3.6","45","0.0","2.80"
"12","3.8","145","0.0","3.10"
"13","4.9","162","0.0","2.90"
"14","5.2","190","0.0","1.80"
"15","2.9","160","0.0","0.50"
"16","3.7","57","0.0","0.20"
"17","3.4","347","0.0","0.00"
"18","4.0","65","1.5","0.00"
"19","2.7","99","1.5","0.00"
"20","2.2","56","1.0","0.00"
"21","2.1","41","1.5","0.00"
"22","2.2","34","1.0","0.00"
"23","2.9","80","1.0","0.00"
"24","2.9","80","1.5","0.00"
