"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.0","0","0.0","0.00"
"02","0.8","5","0.0","0.00"
"03","0.9","5","0.0","0.00"
"04","1.0","2","0.0","0.00"
"05","0.0","0","0.5","0.00"
"06","1.0","348","0.0","0.00"
"07","1.0","348","0.0","0.00"
"08","0.0","0","0.0","0.10"
"09","1.1","246","0.0","0.30"
"10","2.0","112","0.0","1.40"
"11","3.1","297","0.0","2.10"
"12","3.2","72","0.0","2.60"
"13","3.4","38","0.0","1.30"
"14","3.2","13","0.0","1.40"
"15","3.9","34","0.0","0.80"
"16","2.9","72","0.0","0.60"
"17","3.3","24","0.0","0.40"
"18","1.2","91","0.0","0.00"
"19","0.0","0","0.0","0.00"
"20","0.0","0","0.0","0.00"
"21","0.0","0","0.0","0.00"
"22","0.9","273","0.0","0.00"
"23","0.7","204","0.0","0.00"
"24","0.7","204","0.0","0.00"
