"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.1","230","0.0","0.00"
"02","1.3","249","0.0","0.00"
"03","1.2","220","0.0","0.00"
"04","1.0","215","0.0","0.00"
"05","1.1","230","0.0","0.00"
"06","1.6","240","0.0","0.00"
"07","1.4","229","0.0","0.00"
"08","1.6","215","0.0","0.00"
"09","2.5","199","0.0","0.10"
"10","2.5","223","0.0","0.20"
"11","2.6","215","0.0","0.40"
"12","2.2","217","0.0","0.90"
"13","1.6","218","0.0","0.40"
"14","1.4","80","0.0","0.70"
"15","2.2","100","0.0","1.50"
"16","3.8","32","0.0","1.20"
"17","1.8","69","0.0","0.30"
"18","0.4","52","0.0","0.10"
"19","0.0","0","0.0","0.00"
"20","0.0","0","0.0","0.00"
"21","0.0","0","0.0","0.00"
"22","0.2","0","0.0","0.00"
"23","0.4","51","0.0","0.00"
"24","0.4","51","0.0","0.00"
