"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.8","248","0.0","0.00"
"02","2.2","248","0.0","0.00"
"03","2.7","239","0.0","0.00"
"04","1.6","283","0.0","0.00"
"05","1.4","213","0.0","0.00"
"06","1.1","251","0.0","0.00"
"07","1.8","220","0.0","0.00"
"08","2.8","222","0.0","0.20"
"09","3.1","220","0.0","1.00"
"10","3.3","210","0.0","1.10"
"11","2.8","268","0.0","1.50"
"12","3.1","228","0.0","2.10"
"13","3.6","94","0.0","2.40"
"14","3.7","147","0.0","1.30"
"15","2.8","159","0.0","0.50"
"16","1.6","226","0.0","0.50"
"17","2.1","311","0.0","0.10"
"18","1.5","35","0.0","0.00"
"19","0.5","349","0.0","0.00"
"20","0.0","0","0.0","0.00"
"21","0.0","0","0.0","0.00"
"22","0.7","88","0.0","0.00"
"23","0.6","96","0.0","0.00"
"24","1.3","240","0.0","0.00"
