"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp","GloblRad"
"01","1000.8","25.8","97","0.0","0","0.9","251","0.0","0.00"
"02","1000.2","25.4","98","0.0","0","0.9","226","0.0","0.00"
"03","1000.0","25.5","98","0.0","0","1.1","242","0.0","0.00"
"04","1000.0","25.5","98","0.0","0","0.6","203","0.0","0.00"
"05","999.7","25.3","98","0.0","0","0.9","214","0.0","0.00"
"06","1000.2","25.6","99","0.0","0","0.5","212","0.0","0.00"
"07","999.9","26.4","97","0.0","0","1.4","267","0.0","0.20"
"08","1000.4","27.1","93","0.1","0","1.5","237","0.0","0.30"
"09","1000.5","27.6","92","0.2","0","1.6","214","0.0","0.40"
"10","999.8","28.9","85","0.0","0","1.2","188","0.0","0.80"
"11","1000.2","30.3","81","0.4","48","1.6","66","0.0","1.20"
"12","1000.1","30.4","81","0.5","68","2.9","30","0.0","1.60"
"13","999.6","31.8","79","0.9","74","3.4","84","0.0","2.20"
"14","999.8","30.6","82","0.4","74","3.9","70","0.0","2.00"
"15","999.8","30.6","82","0.2","0","2.5","337","0.0","1.20"
"16","999.5","30.7","79","0.0","0","1.8","45","0.0","0.80"
"17","999.5","29.9","83","0.1","0","0.9","32","0.0","0.40"
"18","999.8","28.9","88","0.0","0","0.7","350","0.0","0.20"
"19","1000.0","27.4","93","0.0","0","0.0","0","0.0","0.00"
"20","1000.3","26.7","96","0.0","0","0.5","163","0.0","0.00"
"21","1000.9","26.1","97","0.0","0","0.5","212","0.0","0.00"
"22","1001.5","25.5","97","0.1","0","0.9","212","0.0","0.00"
"23","1001.5","25.5","97","0.1","0","0.9","209","0.0","0.00"
"24","1001.1","25.4","96","0.3","252","1.1","236","0.0","0.00"
