"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.7","220","0.0","0.00"
"02","1.9","189","0.0","0.00"
"03","1.7","250","0.0","0.00"
"04","1.6","202","0.0","0.00"
"05","1.3","236","0.0","0.00"
"06","1.5","226","0.0","0.00"
"07","2.0","209","0.0","0.00"
"08","1.3","288","0.0","0.10"
"09","1.7","217","0.0","0.70"
"10","2.7","32","0.0","1.60"
"11","4.5","59","0.0","0.30"
"12","4.7","73","0.0","0.40"
"13","6.9","80","0.0","0.60"
"14","7.4","42","0.0","0.60"
"15","7.6","84","0.0","0.50"
"16","6.5","80","0.0","0.20"
"17","6.2","76","0.0","0.00"
"18","7.0","6","0.0","0.00"
"19","7.2","63","0.0","0.00"
"20","6.5","7","0.0","0.00"
"21","6.3","23","0.0","0.00"
"22","5.8","9","0.0","0.00"
"23","5.2","100","0.0","0.00"
"24","6.4","83","0.0","0.00"
