"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.0","0","0.0","0.00"
"02","1.1","211","0.0","0.00"
"03","1.7","228","0.0","0.00"
"04","1.1","218","0.0","0.00"
"05","1.9","244","0.0","0.00"
"06","2.3","235","0.0","0.00"
"07","2.8","190","0.0","0.00"
"08","3.2","198","0.0","0.70"
"09","3.8","197","0.0","1.50"
"10","3.2","216","0.0","2.20"
"11","3.6","232","0.0","2.70"
"12","2.4","278","0.0","3.00"
"13","3.7","158","0.0","3.00"
"14","3.9","149","0.0","2.80"
"15","3.7","140","0.0","2.10"
"16","3.2","152","0.0","1.60"
"17","3.0","152","0.0","0.50"
"18","1.6","342","0.0","0.00"
"19","0.3","360","0.0","0.00"
"20","0.0","0","0.0","0.00"
"21","0.5","70","0.0","0.00"
"22","1.6","207","0.0","0.00"
"23","1.4","291","0.0","0.00"
"24","0.8","308","0.0","0.00"
