"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","1.5","205","0.0","0.00"
"02","1.9","213","0.0","0.00"
"03","1.2","234","0.0","0.00"
"04","1.0","227","0.0","0.00"
"05","2.0","214","0.0","0.00"
"06","0.7","246","0.0","0.00"
"07","0.3","244","0.0","0.00"
"08","1.2","241","0.0","0.00"
"09","4.4","86","0.0","0.30"
"10","2.9","49","0.0","0.40"
"11","4.0","83","0.0","0.20"
"12","3.9","14","0.0","0.20"
"13","3.0","73","0.0","0.30"
"14","5.4","101","0.0","0.10"
"15","4.4","49","0.0","0.00"
"16","2.9","332","0.0","0.00"
"17","3.2","199","0.0","0.00"
"18","2.2","214","0.0","0.00"
"19","2.2","193","0.0","0.00"
"20","3.8","22","0.0","0.00"
"21","4.3","67","0.0","0.00"
"22","4.5","5","0.0","0.00"
"23","5.1","57","0.0","0.00"
"24","3.3","27","0.0","0.00"
