"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","0.5","333","0.0","0.00"
"02","0.0","0","0.0","0.00"
"03","0.0","0","0.0","0.00"
"04","0.0","0","0.0","0.00"
"05","0.0","0","0.0","0.00"
"06","0.0","0","0.0","0.00"
"07","0.0","0","0.0","0.00"
"08","0.5","333","0.0","0.10"
"09","1.5","338","0.0","0.40"
"10","1.9","27","0.0","0.40"
"11","3.0","61","0.0","0.60"
"12","2.9","16","0.0","0.70"
"13","3.0","69","0.0","0.40"
"14","3.2","19","0.0","0.40"
"15","3.3","74","0.0","0.30"
"16","3.0","6","0.0","0.10"
"17","1.4","34","0.0","0.00"
"18","1.2","317","0.0","0.00"
"19","0.5","326","0.0","0.00"
"20","0.4","326","0.0","0.00"
"21","1.7","22","0.0","0.00"
"22","1.6","5","0.5","0.00"
"23","1.2","17","0.0","0.00"
"24","0.0","0","0.0","0.00"
