"觀測時間(hour)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","WSGust","WDGust","Precp","GloblRad"
"01","4.5","1","0.0","0.00"
"02","4.4","63","0.0","0.00"
"03","4.0","30","0.0","0.00"
"04","4.5","28","0.0","0.00"
"05","1.9","29","0.0","0.00"
"06","2.6","301","0.0","0.00"
"07","1.5","254","0.0","0.00"
"08","0.7","121","0.0","0.00"
"09","0.8","121","0.5","0.10"
"10","1.2","212","0.0","0.20"
"11","1.1","201","0.0","0.30"
"12","1.2","26","0.0","0.40"
"13","2.5","74","0.0","0.90"
"14","2.3","325","0.0","0.50"
"15","1.4","297","0.0","0.20"
"16","0.7","22","0.0","0.10"
"17","0.7","86","0.0","0.00"
"18","0.9","113","0.0","0.00"
"19","0.4","72","0.0","0.00"
"20","0.0","0","0.0","0.00"
"21","0.0","0","0.0","0.00"
"22","0.0","0","0.0","0.00"
"23","0.0","0","0.0","0.00"
"24","0.0","0","0.0","0.00"
